country_iso3,country_name,region,income_group,lending_type,year,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.SEC.ENRR,SE.TER.ENRR,IT.NET.USER.ZS_z,IT.CEL.SETS.P2_z,IT.NET.BBND.P2_z,IT.NET.SECR.P6_z,SE.SEC.ENRR_z,SE.TER.ENRR_z,pillar_access_adoption,pillar_infra_capacity,pillar_human_capital,n_pillars_available,dii_core_z,dii_core_0_100
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2015,88.6612,135.337,18.237,6.5973076204306,,16.7312393188477,1.0503985235586384,0.6993506184845829,0.1900926694529806,0.18297511524345564,,-1.1312975371496339,0.8748745710216106,0.1865338923482181,-1.1312975371496339,3,-0.023296357926601747,55.27656910963075
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2016,93.5425,,,7.031983049894314,,17.1416206359863,1.2242647421085546,,,0.3280050312588691,,-1.1172604154513797,1.2242647421085546,0.3280050312588691,-1.1172604154513797,3,0.14500311930534804,60.51759187689291
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2017,97.17,,,6.854625660564612,,,1.3534720655244108,,,0.2688295510369145,,,1.3534720655244108,0.2688295510369145,,2,0.8111508082806627,81.26213167999047
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2018,,,,7.02216512489818,137.829788208008,,,,,0.3247292702171381,1.8468987698970443,,,0.3247292702171381,1.8468987698970443,2,1.0858140200570912,89.8154330325887
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2019,,131.682,17.7444,7.219225687062473,139.320587158203,,,0.6064308814802408,0.15722729167240762,0.3904787348599824,1.9051257480545727,,0.6064308814802408,0.27385301326619504,1.9051257480545727,3,0.9284698809336694,84.91557101872995
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2020,,131.285,17.6909,7.350744619206696,135.124725341797,,,0.5963380947249131,0.15365786879124513,0.4343601654410634,1.741245598887628,,0.5963380947249131,0.29400901711615424,1.741245598887628,3,0.8771975702428985,83.318897326808
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2021,,131.092,17.6649,7.405163716924297,123.625907897949,,,0.5914315258488976,0.15192319598918483,0.45251715485579863,1.2921297794454654,,0.5914315258488976,0.30222017542249174,1.2921297794454654,3,0.7285938269056182,78.69122043237726
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,2022,,130.648,17.4862,7.391705270299382,131.802169799805,,,0.5801438751703942,0.14000065638425513,0.4480267299285892,1.6114746670356588,,0.5801438751703942,0.2940136931564222,1.6114746670356588,3,0.8285440784541583,81.80377641041825
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,2015,8.26,58.256,0.0208887,1.159172147342419,53.1501083374023,,-1.813398540927355,-1.2602516381588353,-1.025253208678292,-1.6314645274929152,-1.4604834023048596,,-1.536825089543095,-1.3283588680856036,-1.4604834023048596,3,-1.4418891199778525,11.100098180150727
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,2016,11.0,62.2553,0.0253627,2.5859910766693823,53.4350395202637,,-1.7158029334402574,-1.158578887351321,-1.0249547115199682,-1.1554048851413892,-1.4493546838692186,,-1.4371909103957892,-1.0901797983306787,-1.4493546838692186,3,-1.3255751308652288,14.722238160123386
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,2017,13.5,67.0508,0.0257279,3.8108175140329856,55.5364303588867,,-1.6267558463169933,-1.0366646332324914,-1.0249303460389176,-0.7467402510178027,-1.3672794728255517,,-1.3317102397747425,-0.8858352985283602,-1.3672794728255517,3,-1.1949416703762183,18.790301542433
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,2018,16.8,59.8109,0.0435429,3.997824806737893,57.3578491210938,9.99592018127441,-1.5092136913142844,-1.2207219804110787,-1.0237417615785829,-0.6843450703453542,-1.2961392895910029,-1.3616796000318139,-1.3649678358626816,-0.8540434159619685,-1.3289094448114085,3,-1.1826402322120195,19.173381267628926
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,2019,17.6,59.6471,0.0519942,3.3554099656943754,,,-1.48071862343484,-1.2248862082965262,-1.0231779061842732,-0.8986874603869202,,,-1.352802415865683,-0.9609326832855967,,2,-1.1568675495756398,19.975969717054284
