country_iso3,country_name,rank_dii_2022,rank_egdi_2022,gap_egdi,abs_gap
LBY,Libya,68.0,713.0,645.0,645.0
LBY,Libya,68.0,696.0,628.0,628.0
KNA,St. Kitts and Nevis,22.0,615.0,593.0,593.0
DMA,Dominica,64.0,641.0,577.0,577.0
PLW,Palau,100.0,676.0,576.0,576.0
TUV,Tuvalu,121.0,678.0,557.0,557.0
COM,Comoros,167.0,723.0,556.0,556.0
MRT,Mauritania,159.0,715.0,556.0,556.0
IRQ,Iraq,127.0,683.0,556.0,556.0
MHL,Marshall Islands,154.0,708.0,554.0,554.0
GNB,Guinea-Bissau,168.0,720.0,552.0,552.0
GMB,"Gambia, The",153.0,702.0,549.0,549.0
TUV,Tuvalu,121.0,666.0,545.0,545.0
LBY,Libya,68.0,613.0,545.0,545.0
WSM,Samoa,160.0,698.0,538.0,538.0
BWA,Botswana,120.0,658.0,538.0,538.0
GNQ,Equatorial Guinea,173.0,706.0,533.0,533.0
SOM,"Somalia, Fed. Rep.",194.0,724.0,530.0,530.0
HTI,Haiti,188.0,716.0,528.0,528.0
SSD,South Sudan,199.0,724.0,525.0,525.0
