country_iso3,country_name,rank_dii_2022,rank_nri_2022,gap_nri,abs_gap
PAK,Pakistan,186.0,89.0,-97.0,97.0
PAK,Pakistan,186.0,89.0,-97.0,97.0
PAK,Pakistan,186.0,89.0,-97.0,97.0
PAK,Pakistan,186.0,89.0,-97.0,97.0
MWI,Malawi,203.0,119.0,-84.0,84.0
IND,India,145.0,61.0,-84.0,84.0
MWI,Malawi,203.0,119.0,-84.0,84.0
IND,India,145.0,61.0,-84.0,84.0
MWI,Malawi,203.0,119.0,-84.0,84.0
MWI,Malawi,203.0,119.0,-84.0,84.0
IND,India,145.0,61.0,-84.0,84.0
IND,India,145.0,61.0,-84.0,84.0
RWA,Rwanda,182.0,101.0,-81.0,81.0
RWA,Rwanda,182.0,101.0,-81.0,81.0
RWA,Rwanda,182.0,101.0,-81.0,81.0
RWA,Rwanda,182.0,101.0,-81.0,81.0
MDG,Madagascar,195.0,120.0,-75.0,75.0
MDG,Madagascar,195.0,120.0,-75.0,75.0
MDG,Madagascar,195.0,120.0,-75.0,75.0
MDG,Madagascar,195.0,120.0,-75.0,75.0
