year,indicator_code,n_countries_total,n_countries_non_missing,coverage_rate
2015,IT.NET.USER.ZS,215,200,0.9302325581395349
2015,IT.CEL.SETS.P2,215,207,0.9627906976744186
2015,IT.NET.BBND.P2,215,202,0.9395348837209302
2015,IT.NET.SECR.P6,215,212,0.986046511627907
2015,SE.SEC.ENRR,215,155,0.7209302325581395
2015,SE.TER.ENRR,215,147,0.6837209302325581
2016,IT.NET.USER.ZS,215,203,0.9441860465116279
2016,IT.CEL.SETS.P2,215,202,0.9395348837209302
2016,IT.NET.BBND.P2,215,196,0.9116279069767442
2016,IT.NET.SECR.P6,215,214,0.9953488372093023
2016,SE.SEC.ENRR,215,146,0.6790697674418604
2016,SE.TER.ENRR,215,135,0.627906976744186
2017,IT.NET.USER.ZS,216,205,0.9490740740740741
2017,IT.CEL.SETS.P2,216,203,0.9398148148148148
2017,IT.NET.BBND.P2,216,197,0.9120370370370371
2017,IT.NET.SECR.P6,216,214,0.9907407407407407
2017,SE.SEC.ENRR,216,140,0.6481481481481481
2017,SE.TER.ENRR,216,136,0.6296296296296297
2018,IT.NET.USER.ZS,216,176,0.8148148148148148
2018,IT.CEL.SETS.P2,216,191,0.8842592592592593
2018,IT.NET.BBND.P2,216,182,0.8425925925925926
2018,IT.NET.SECR.P6,216,213,0.9861111111111112
2018,SE.SEC.ENRR,216,140,0.6481481481481481
2018,SE.TER.ENRR,216,133,0.6157407407407407
2019,IT.NET.USER.ZS,214,186,0.8691588785046729
2019,IT.CEL.SETS.P2,214,208,0.9719626168224299
2019,IT.NET.BBND.P2,214,203,0.9485981308411215
2019,IT.NET.SECR.P6,214,212,0.9906542056074766
2019,SE.SEC.ENRR,214,139,0.6495327102803738
2019,SE.TER.ENRR,214,131,0.6121495327102804
2020,IT.NET.USER.ZS,215,186,0.8651162790697674
2020,IT.CEL.SETS.P2,215,207,0.9627906976744186
2020,IT.NET.BBND.P2,215,201,0.9348837209302325
2020,IT.NET.SECR.P6,215,214,0.9953488372093023
2020,SE.SEC.ENRR,215,144,0.6697674418604651
2020,SE.TER.ENRR,215,132,0.6139534883720931
2021,IT.NET.USER.ZS,215,181,0.8418604651162791
2021,IT.CEL.SETS.P2,215,208,0.9674418604651163
2021,IT.NET.BBND.P2,215,204,0.9488372093023256
2021,IT.NET.SECR.P6,215,215,1.0
2021,SE.SEC.ENRR,215,148,0.6883720930232559
2021,SE.TER.ENRR,215,124,0.5767441860465117
2022,IT.NET.USER.ZS,216,182,0.8425925925925926
2022,IT.CEL.SETS.P2,216,209,0.9675925925925926
2022,IT.NET.BBND.P2,216,206,0.9537037037037037
2022,IT.NET.SECR.P6,216,215,0.9953703703703703
2022,SE.SEC.ENRR,216,139,0.6435185185185185
2022,SE.TER.ENRR,216,125,0.5787037037037037
