year,rank,country_iso3,country_name,dii_core_0_100
2015,1,ERI,Eritrea,0.0
2015,2,TCD,Chad,0.0
2015,3,CAF,Central African Republic,0.0
2015,4,SSD,South Sudan,0.0
2015,5,NER,Niger,0.0
2015,6,MDG,Madagascar,0.791506245750398
2015,7,MWI,Malawi,1.1058484559588493
2015,8,SOM,"Somalia, Fed. Rep.",1.6448785249757252
2015,9,BDI,Burundi,1.8426129312748631
2015,10,COD,"Congo, Dem. Rep.",2.747611822381596
2015,11,ETH,Ethiopia,4.363079661134895
2015,12,BFA,Burkina Faso,5.281642825594733
2015,13,TZA,Tanzania,5.3022524337641
2015,14,PAK,Pakistan,5.782713631394698
2015,15,SDN,Sudan,7.152447742474263
2015,16,MOZ,Mozambique,7.419459421115136
2015,17,COM,Comoros,7.605254029067328
2015,18,UGA,Uganda,7.613379341757176
2015,19,GNQ,Equatorial Guinea,8.371016798636576
2015,20,AFG,Afghanistan,8.47457204453472
2015,21,KIR,Kiribati,8.631894266752715
2015,22,PNG,Papua New Guinea,8.73302642679169
2015,23,GNB,Guinea-Bissau,9.673192847171494
2015,24,TGO,Togo,10.16297822431435
2015,25,RWA,Rwanda,10.253121925468989
2015,26,MRT,Mauritania,10.429911154129943
2015,27,YEM,"Yemen, Rep.",10.611702651342007
2015,28,DJI,Djibouti,11.589499141199616
2015,29,LBR,Liberia,11.70752772837676
2015,30,MMR,Myanmar,12.597061080052734
2015,31,ZMB,Zambia,13.09832145449576
2015,32,BEN,Benin,13.566167733411664
2015,33,HTI,Haiti,13.593421458763425
2015,34,AGO,Angola,13.663883372187302
2015,35,MLI,Mali,13.887580201754838
2015,36,GIN,Guinea,13.940197570483736
2015,37,LAO,Lao PDR,14.4569755010792
2015,38,SLB,Solomon Islands,15.847861566256576
2015,39,BGD,Bangladesh,16.18277238267
2015,40,CMR,Cameroon,16.507872039897954
2015,41,NGA,Nigeria,17.65303489484171
2015,42,SEN,Senegal,18.62913528640144
2015,43,FSM,"Micronesia, Fed. Sts.",19.184207118852022
2015,44,CIV,Cote d'Ivoire,19.207497310707875
2015,45,SYR,Syrian Arab Republic,19.912225847098995
2015,46,KEN,Kenya,19.959084165422357
2015,47,LSO,Lesotho,20.66886138709055
2015,48,NPL,Nepal,21.271337979150243
2015,49,TJK,Tajikistan,21.419402212763654
2015,50,HND,Honduras,21.67762528191999
2016,1,CAF,Central African Republic,0.0
2016,2,ERI,Eritrea,0.0
2016,3,SSD,South Sudan,0.0
2016,4,NER,Niger,0.0
2016,5,MDG,Madagascar,0.1096841378031494
2016,6,TCD,Chad,1.0821086960570785
2016,7,COD,"Congo, Dem. Rep.",2.2620654691659072
2016,8,SOM,"Somalia, Fed. Rep.",2.9683556287808823
2016,9,BDI,Burundi,3.3278824076475044
2016,10,MWI,Malawi,6.131122465663464
2016,11,ETH,Ethiopia,6.464296611176366
2016,12,TZA,Tanzania,6.497660171445364
2016,13,BFA,Burkina Faso,6.511565789417266
2016,14,UGA,Uganda,9.257793348107407
2016,15,MOZ,Mozambique,9.545549936727149
