year,rank,country_iso3,country_name,dii_core_0_100
2015,1,MAC,"Macao SAR, China",97.07060650420613
2015,2,AUS,Australia,95.45778798501428
2015,3,DNK,Denmark,93.46727534119998
2015,4,FIN,Finland,92.86322176012884
2015,5,HKG,"Hong Kong SAR, China",91.6294179828554
2015,6,BEL,Belgium,90.8665771110058
2015,7,CYM,Cayman Islands,90.698315622927
2015,8,NLD,Netherlands,87.92536831276222
2015,9,SWE,Sweden,87.64450934526096
2015,10,ISL,Iceland,87.06630819142981
2015,11,MCO,Monaco,86.6829568289788
2015,12,NOR,Norway,85.26468079529059
2015,13,ARE,United Arab Emirates,84.22421261418704
2015,14,CHE,Switzerland,84.02557172108105
2015,15,KNA,St. Kitts and Nevis,83.70507067347128
2015,16,GBR,United Kingdom,83.43159932609377
2015,17,AUT,Austria,82.2304901914693
2015,18,NZL,New Zealand,82.09945826924572
2015,19,EST,Estonia,82.07293834809144
2015,20,FRO,Faroe Islands,81.78738005783148
2015,21,SGP,Singapore,80.53295927357146
2015,22,KOR,"Korea, Rep.",80.27400307552999
2015,23,LIE,Liechtenstein,80.2204306151862
2015,24,DEU,Germany,79.09811274771664
2015,25,ESP,Spain,78.96172499371752
2015,26,IRL,Ireland,77.31992476262263
2015,27,LVA,Latvia,76.18786575238016
2015,28,CAN,Canada,75.8979934693042
2015,29,USA,United States,75.84855000785413
2015,30,JPN,Japan,75.56525875798275
2015,31,SVN,Slovenia,75.3218788974683
2015,32,LUX,Luxembourg,75.07498429587245
2015,33,ATG,Antigua and Barbuda,75.02563641506558
2015,34,FRA,France,74.48257757746019
2015,35,LTU,Lithuania,74.09910326567486
2015,36,BHR,Bahrain,73.384648458088
2015,37,CZE,Czechia,72.62465264702678
2015,38,CYP,Cyprus,72.38522903056041
2015,39,ABW,Aruba,71.5996272426294
2015,40,PRT,Portugal,71.4195103538771
2015,41,RUS,Russian Federation,71.38127365061197
2015,42,POL,Poland,71.22696123393551
2015,43,MLT,Malta,70.94489689670306
2015,44,ISR,Israel,70.5895728789998
2015,45,BLR,Belarus,70.52858640974861
2015,46,URY,Uruguay,69.5212477284133
2015,47,SAU,Saudi Arabia,69.17640043188003
2015,48,BRB,Barbados,68.82557845803186
2015,49,KWT,Kuwait,68.71064431831523
2015,50,ARG,Argentina,68.62014890905488
2016,1,MAC,"Macao SAR, China",99.97609232951504
2016,2,AUS,Australia,97.31379741449726
2016,3,HKG,"Hong Kong SAR, China",96.08183180086812
2016,4,DNK,Denmark,95.2480522643232
2016,5,GIB,Gibraltar,94.8352543573873
2016,6,FIN,Finland,94.08189188628089
2016,7,BEL,Belgium,91.36339868809404
2016,8,MCO,Monaco,90.22600765258184
2016,9,ISL,Iceland,89.79846850425398
2016,10,NLD,Netherlands,89.29146699735674
2016,11,SWE,Sweden,88.67241276630915
2016,12,CYM,Cayman Islands,88.47330708431868
2016,13,ARE,United Arab Emirates,88.25563114116979
2016,14,GBR,United Kingdom,87.75859896823847
2016,15,NOR,Norway,87.30402615593016
2016,16,SGP,Singapore,86.70142187017905
2016,17,CHE,Switzerland,86.01681114945815
2016,18,EST,Estonia,85.06586834376526
2016,19,NZL,New Zealand,84.36875766320988
2016,20,GRC,Greece,84.00159381088962
2016,21,BMU,Bermuda,83.18336394377069
2016,22,LIE,Liechtenstein,82.2441854263195
2016,23,FRO,Faroe Islands,82.22337536345056
2016,24,KOR,"Korea, Rep.",82.0790815225223
2016,25,ESP,Spain,81.77965050978533
2016,26,DEU,Germany,81.31717432601704
2016,27,IRL,Ireland,79.75836685618974
2016,28,LVA,Latvia,79.63598575164012
2016,29,USA,United States,79.61998368945055
2016,30,AUT,Austria,79.03356833777993
