year,region,n_countries,share_has_dii,mean_dii,median_dii,p25,p75
2015,East Asia & Pacific,37,0.918918918918919,47.41174105996545,46.655548573121834,24.758023556657303,60.33198063791111
2015,Europe & Central Asia,56,0.9821428571428571,69.85197838664658,72.16778851368332,61.432484557477416,81.6371450551101
2015,Latin America & Caribbean ,42,0.9761904761904762,52.62819429491745,50.852624297958904,42.87938069859092,66.41705466596092
2015,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,45.4114620078145,43.547323667663406,33.43354088497385,66.15494699132552
2015,North America,3,1.0,74.0938870923679,76.64397978868224,72.79489677152353,76.66792376136945
2015,South Asia,6,1.0,31.9613337075693,29.586460725553515,24.159302393352576,37.54016949632644
2015,Sub-Saharan Africa ,48,1.0,17.534751332962582,14.276219132948775,6.0307541125474895,22.684686369096642
2016,East Asia & Pacific,37,0.8918918918918919,49.412828585378264,46.3335566536032,32.82259003986782,64.63199271567649
2016,Europe & Central Asia,56,0.9821428571428571,72.96927636095768,75.51473807744667,66.2176754248439,82.60336742017239
2016,Latin America & Caribbean ,42,0.9523809523809523,55.20444619487536,55.0246464702966,45.48801811962162,67.74559851704618
2016,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,46.76599994384231,46.038878608177505,34.2102236975945,66.1832796133786
2016,North America,3,1.0,81.18376856696791,80.29676227661552,79.90163444927197,82.02239953948768
2016,South Asia,6,1.0,36.00498920437501,33.672790562427544,28.794400588264125,40.34145521364026
2016,Sub-Saharan Africa ,48,1.0,19.42762224782172,15.311218441980078,9.047290692904985,25.556939970923406
2017,East Asia & Pacific,37,0.918918918918919,51.7866110763119,54.077924341112784,28.493038682169036,68.60196052354988
2017,Europe & Central Asia,57,0.9649122807017544,75.15138643430289,78.84530564421381,68.4550473717365,85.33457909336803
2017,Latin America & Caribbean ,42,0.9761904761904762,58.22183048145272,54.57455134401221,46.83362048176451,71.5714406077335
2017,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,50.13139725790716,48.00109574592133,37.716895362757526,66.00316019382167
2017,North America,3,1.0,76.43809431042038,82.24852871768805,73.4908645974088,82.2905412270658
2017,South Asia,6,1.0,39.72091611380245,37.841423604233164,32.49219874829711,42.412054279014676
2017,Sub-Saharan Africa ,48,1.0,21.375223851178276,17.099998539547403,8.936318053900955,29.752613786646023
2018,East Asia & Pacific,37,0.8108108108108109,54.75702041667186,52.54498116676173,38.249093524697,65.1010490921784
2018,Europe & Central Asia,57,0.9649122807017544,75.87040417174669,79.15220322268156,67.34774236163418,86.80830291167229
2018,Latin America & Caribbean ,42,0.9285714285714286,57.71749915755934,57.942404262860656,46.6472811302131,68.82328694437078
2018,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9565217391304348,50.55698187594998,49.76579203020759,35.206805455223474,66.11520083635628
2018,North America,3,1.0,74.8292683388287,83.38190150054668,70.06315569643876,83.87169756207761
2018,South Asia,6,1.0,41.624915402219735,38.59161314354452,33.468395424768254,45.27181902145881
2018,Sub-Saharan Africa ,48,1.0,22.66565140602499,18.542635649808716,10.011494303584229,29.663488193348375
2019,East Asia & Pacific,37,0.8918918918918919,56.30198045377411,56.80394121145709,38.799651956305105,67.82693458898939
2019,Europe & Central Asia,56,0.9821428571428571,77.69275998211003,80.0940477750343,70.66357262851145,88.01799918764397
2019,Latin America & Caribbean ,41,0.975609756097561,58.85627487678433,57.74277012388793,48.02687564745501,72.59801787236509
2019,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,52.65204854469994,52.24813741360853,38.73453218436868,66.86010433966916
2019,North America,3,1.0,81.12388038790027,84.34586166595093,78.60164312752065,85.25710828730521
2019,South Asia,6,1.0,42.50901923429553,40.263147760496324,36.49991591288743,45.07064761955941
2019,Sub-Saharan Africa ,48,1.0,25.054516728621945,21.062116743546593,13.983769417248318,31.66133542590507
2020,East Asia & Pacific,37,0.918918918918919,55.90057774649682,56.958602318608214,35.28196664373245,70.66629549909496
2020,Europe & Central Asia,56,0.9821428571428571,78.6153342724541,80.72063780167036,72.47261915558991,89.55350954155614
2020,Latin America & Caribbean ,42,0.9523809523809523,60.82125543745515,59.21819469060921,51.385989498539274,74.8794819479387
2020,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,52.95008686903045,52.27330710325047,43.58662153989571,65.682961980023
2020,North America,3,1.0,81.45230504323438,84.13594765567582,78.64915031842227,85.59728107426722
2020,South Asia,6,1.0,44.1085685922408,42.329112390005,39.6580333730048,46.34888273555063
2020,Sub-Saharan Africa ,48,1.0,27.381890774699595,23.314571532834705,15.537170970438899,33.2551776665968
2021,East Asia & Pacific,37,0.918918918918919,56.922065771190276,58.50233430840715,37.05632808311028,70.95795568626026
2021,Europe & Central Asia,56,0.9821428571428571,80.66295578611539,82.22266160244205,74.14095168432556,91.16922991783375
2021,Latin America & Caribbean ,42,0.9523809523809523,61.811220433783355,61.313984653912705,53.13054225590444,73.19539959318813
2021,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,54.595504824157544,54.21864702572827,45.876189823634036,69.5805214464508
2021,North America,3,1.0,82.01367776713826,85.7917787978933,79.09665023680505,86.819755812849
2021,South Asia,6,1.0,46.58602436068866,47.12149479500941,40.72871410920077,50.14637962118814
2021,Sub-Saharan Africa ,48,1.0,29.53163893204599,27.113367923571737,15.822694343263667,37.69935888959392
2022,East Asia & Pacific,37,0.918918918918919,57.92637969410069,58.91301138731455,38.39565593882243,72.1601353142172
2022,Europe & Central Asia,57,0.9649122807017544,82.14801487953758,83.65208592524024,74.55662854028668,92.40623355560359
2022,Latin America & Caribbean ,42,0.9761904761904762,63.43621998283027,63.836117345577456,54.38843590754432,73.94503378921554
2022,"Middle East, North Africa, Afghanistan & Pakistan",23,1.0,57.00665416110635,57.64954509330604,47.26325562389704,73.39740567551922
2022,North America,3,1.0,81.77138721644401,86.15403166123929,79.14612021616512,86.58797643912055
2022,South Asia,6,1.0,49.29034128253616,48.16457471877216,44.206989742668526,51.864881498897944
2022,Sub-Saharan Africa ,48,1.0,31.052532546183485,29.64720506630994,18.315870747025244,37.19258742706382
