country_iso3,country_name,dii_core_0_100_avg_2015_2019,dii_core_0_100_avg_2020_2022,delta_post_minus_pre,rank_2015_2019,rank_2020_2022,rank_change_post_minus_pre
ABW,Aruba,71.5996272426294,,,55.0,,
AFG,Afghanistan,15.023424199239273,17.362042848260582,2.33861864902131,173.0,174.0,1.0
AGO,Angola,14.395783489234503,22.0051800423994,7.6093965531648955,176.0,167.0,-9.0
ALB,Albania,56.78522794401213,62.881639938528444,6.096411994516316,94.0,89.0,-5.0
AND,Andorra,69.98427583592772,77.77601032636339,7.7917344904356725,61.0,53.0,-8.0
ARE,United Arab Emirates,89.1707268057367,87.4532617089136,-1.7174650968231049,11.0,22.0,11.0
ARG,Argentina,74.82974687059715,84.52324082434723,9.693493953750078,48.0,32.0,-16.0
ARM,Armenia,54.38865755034358,62.706610617513114,8.317953067169533,99.0,90.0,-9.0
ASM,American Samoa,,,,,,
ATG,Antigua and Barbuda,76.09359650950242,77.17719542727727,1.0835989177748502,44.0,54.0,10.0
AUS,Australia,96.49279857850254,97.45191204477355,0.9591134662710061,4.0,4.0,0.0
AUT,Austria,81.29430517085663,85.56863630213375,4.274331131277123,29.0,30.0,1.0
AZE,Azerbaijan,54.53778995291034,59.02215930844236,4.484369355532024,98.0,95.0,-3.0
BDI,Burundi,5.332501392906762,11.522041225297636,6.189539832390874,192.0,181.0,-11.0
BEL,Belgium,92.41616444019213,94.6818387622596,2.2656743220674684,7.0,9.0,2.0
BEN,Benin,16.040803986563027,18.289206250587092,2.2484022640240653,172.0,173.0,1.0
BFA,Burkina Faso,8.453995926540092,15.653797853742915,7.199801927202824,189.0,176.0,-13.0
BGD,Bangladesh,25.397698400434997,36.640790718421954,11.243092317986957,159.0,138.0,-21.0
BGR,Bulgaria,75.11132824813997,81.65235535904553,6.54102711090556,46.0,41.0,-5.0
BHR,Bahrain,70.44178249611352,72.5571680761068,2.115385579993287,59.0,62.0,3.0
BHS,"Bahamas, The",64.81440966300387,72.06727845392749,7.252868790923614,74.0,65.0,-9.0
BIH,Bosnia and Herzegovina,56.37971251517947,64.08514068912558,7.70542817394611,96.0,85.0,-11.0
BLR,Belarus,76.69047849209096,82.06038741265911,5.36990892056815,43.0,40.0,-3.0
BLZ,Belize,42.25579708323372,54.80608676294528,12.550289679711554,121.0,107.0,-14.0
BMU,Bermuda,78.17887043322254,,,37.0,,
BOL,Bolivia,36.42437658990566,49.90698188771802,13.482605297812356,130.0,117.0,-13.0
BRA,Brazil,59.93918151275246,67.67096203331573,7.7317805205632695,84.0,78.0,-6.0
BRB,Barbados,69.46889586026748,72.30719151004037,2.8382956497728884,62.0,64.0,2.0
BRN,Brunei Darussalam,58.845620120017806,67.23304117703243,8.387421057014627,89.0,80.0,-9.0
BTN,Bhutan,37.549281646100276,47.26055295241509,9.711271306314814,129.0,121.0,-8.0
BWA,Botswana,48.664583318056785,61.19432665503087,12.529743336974086,107.0,92.0,-15.0
CAF,Central African Republic,0.34143202215558166,,,200.0,,
CAN,Canada,80.58862871892948,84.84829267183822,4.259663952908738,30.0,31.0,1.0
CHE,Switzerland,87.34608258042584,92.13678861600816,4.790706035582318,15.0,15.0,0.0
CHL,Chile,75.42608338063317,83.59432545700622,8.168242076373048,45.0,37.0,-8.0
CHN,China,56.380326416474375,75.87361782220583,19.493291405731455,95.0,57.0,-38.0
CIV,Cote d'Ivoire,25.689959052759963,32.88756019558223,7.197601142822268,158.0,146.0,-12.0
CMR,Cameroon,20.61055287706955,24.69160019616328,4.081047319093727,164.0,164.0,0.0
COD,"Congo, Dem. Rep.",4.776805484321702,12.780350456869483,8.00354497254778,195.0,179.0,-16.0
COG,"Congo, Rep.",,27.42539391932936,,,158.0,
COL,Colombia,59.649125406354756,66.77752930889795,7.128403902543198,85.0,81.0,-4.0
COM,Comoros,13.576338642059048,27.711999750324605,14.135661108265557,177.0,157.0,-20.0
CPV,Cabo Verde,46.776422957206194,53.60211771124258,6.825694754036384,113.0,108.0,-5.0
CRI,Costa Rica,72.76056963449989,76.81628387832727,4.055714243827381,52.0,55.0,3.0
CUB,Cuba,31.856882351370906,43.029323227183134,11.172440875812228,139.0,128.0,-11.0
CUW,Curacao,68.59248119406311,,,66.0,,
CYM,Cayman Islands,91.11231495148509,,,9.0,,
CYP,Cyprus,80.13626705946548,92.72425330165011,12.587986242184627,33.0,11.0,-22.0
CZE,Czechia,77.63574514653314,84.44621779775683,6.810472651223691,39.0,33.0,-6.0
DEU,Germany,83.96208310213464,90.21083465290195,6.2487515507673095,25.0,20.0,-5.0
DJI,Djibouti,20.457100964711607,28.9064504502435,8.449349485531894,165.0,155.0,-10.0
DMA,Dominica,67.2083436816516,75.34262009787889,8.134276416227294,70.0,58.0,-12.0
DNK,Denmark,96.6772046189875,100.0,3.3227953810124973,3.0,1.0,-2.0
DOM,Dominican Republic,45.57810567203853,50.92753116258907,5.349425490550537,118.0,114.0,-4.0
DZA,Algeria,39.34311044743886,50.34026238498246,10.997151937543599,127.0,116.0,-11.0
ECU,Ecuador,46.55286794560059,56.09069218890979,9.537824243309203,114.0,104.0,-10.0
EGY,"Egypt, Arab Rep.",34.84802729056836,44.24588470341541,9.397857412847053,133.0,126.0,-7.0
ERI,Eritrea,1.0917757384810345,9.209723165609013,8.117947427127978,199.0,184.0,-15.0
ESP,Spain,83.98907881127167,90.83134007227694,6.842261261005277,24.0,19.0,-5.0
EST,Estonia,86.88460313706517,92.25704244639303,5.372439309327859,17.0,14.0,-3.0
ETH,Ethiopia,5.179557508687308,10.480958259203565,5.301400750516256,193.0,183.0,-10.0
FIN,Finland,95.76169547052571,99.6955185172129,3.933823046687195,5.0,2.0,-3.0
FJI,Fiji,49.93640815039111,57.56966663010041,7.633258479709298,105.0,100.0,-5.0
FRA,France,79.7531412179691,86.56754211051334,6.814400892544242,35.0,26.0,-9.0
