country_iso3,country_name,dii_baseline_0_100_mean_2015_2022,dii_minmax_0_100_mean_2015_2022,rank_baseline,rank_minmax,rank_change_minmax_minus_baseline
ABW,Aruba,71.5996272426294,72.33604325677663,62.0,42.0,-20.0
AFG,Afghanistan,15.900406192622263,19.292948110520022,184.0,184.0,0.0
AGO,Angola,17.24930719667134,20.661921550679764,181.0,179.0,-2.0
ALB,Albania,59.07138244195574,56.68439649509382,98.0,89.0,-9.0
AND,Andorra,72.9061762698411,68.6979000317015,59.0,58.0,-1.0
ARE,United Arab Emirates,88.52667739442803,76.60213147707624,17.0,30.0,13.0
ARG,Argentina,78.46480710325342,71.46255294144883,43.0,44.0,1.0
ARM,Armenia,57.50788995053216,53.7364190972088,99.0,100.0,1.0
ASM,American Samoa,,,,,
ATG,Antigua and Barbuda,76.55799604569164,69.53709134039225,49.0,54.0,5.0
AUS,Australia,96.85246612835417,88.58222588575822,4.0,3.0,-1.0
AUT,Austria,82.89717934508555,76.78135666414697,29.0,29.0,0.0
AZE,Azerbaijan,56.21942846123485,55.67232446609558,101.0,93.0,-8.0
BDI,Burundi,7.653578830053339,12.40150254609599,197.0,201.0,4.0
BEL,Belgium,93.26579231096744,85.89875393281895,9.0,6.0,-3.0
BEN,Benin,16.88395483557205,17.342356328979637,182.0,190.0,8.0
BFA,Burkina Faso,11.15392164924115,14.018721473725144,192.0,196.0,4.0
BGD,Bangladesh,29.613858019680105,30.246126540609822,157.0,158.0,1.0
BGR,Bulgaria,77.56421341472955,71.16350480839907,47.0,46.0,-1.0
BHR,Bahrain,71.235052088611,64.21655336008209,64.0,66.0,2.0
BHS,"Bahamas, The",67.53423545960023,64.96726392625523,74.0,64.0,-10.0
BIH,Bosnia and Herzegovina,59.26924808040926,57.209559992250526,97.0,85.0,-12.0
BLR,Belarus,78.70419433730402,72.70956670377586,40.0,40.0,0.0
BLZ,Belize,46.962155713125554,48.70291942729626,121.0,118.0,-3.0
BMU,Bermuda,78.17887043322254,58.9122329642563,44.0,80.0,36.0
BOL,Bolivia,41.480353576585294,49.64814343169816,132.0,115.0,-17.0
BRA,Brazil,62.83859920796369,59.912398641563,85.0,77.0,-8.0
BRB,Barbados,70.53325672893232,66.22498714067633,66.0,60.0,-6.0
BRN,Brunei Darussalam,61.99090301639829,60.53907425326917,89.0,76.0,-13.0
BTN,Bhutan,41.19100838596833,44.86907323813685,134.0,127.0,-7.0
BWA,Botswana,53.36323706942206,38.33394671473057,108.0,139.0,31.0
CAF,Central African Republic,0.34143202215558166,4.486277560262158,204.0,211.0,7.0
CAN,Canada,82.18600270127027,78.8518947733933,34.0,25.0,-9.0
CHE,Switzerland,89.14259734376921,82.66063175272409,15.0,12.0,-3.0
CHL,Chile,78.48917415927306,72.39102315757566,42.0,41.0,-1.0
CHN,China,63.69031069362367,54.334456057680285,83.0,97.0,14.0
CIV,Cote d'Ivoire,28.389059481318313,28.278713174409127,158.0,164.0,6.0
CMR,Cameroon,22.1409456217297,21.266554268116593,170.0,178.0,8.0
COD,"Congo, Dem. Rep.",7.778134849027119,12.171524854884684,196.0,202.0,6.0
COG,"Congo, Rep.",27.42539391932936,21.322537390164058,162.0,176.0,14.0
COL,Colombia,62.322276869808455,57.384478790298914,88.0,84.0,-4.0
COM,Comoros,19.63447911703,19.1842081283516,175.0,185.0,10.0
CPV,Cabo Verde,49.33605848996984,51.25462002126821,118.0,109.0,-9.0
CRI,Costa Rica,74.28146247593516,71.27330862345322,55.0,45.0,-10.0
CUB,Cuba,36.04654767980049,41.26996959495567,142.0,133.0,-9.0
CUW,Curacao,68.59248119406311,53.974956239512224,71.0,99.0,28.0
CYM,Cayman Islands,91.11231495148509,74.59536040188159,11.0,35.0,24.0
CYP,Cyprus,84.85676190028471,77.50577749992487,27.0,27.0,0.0
