country_iso3,country_name,dii_baseline_0_100_mean_2015_2022,dii_minmax_0_100_mean_2015_2022,rank_baseline,rank_minmax,rank_change_minmax_minus_baseline
ABW,Aruba,71.5996272426294,61.89041157237355,62.0,62.0,0.0
AFG,Afghanistan,15.900406192622263,17.038345586609832,184.0,184.0,0.0
AGO,Angola,17.24930719667134,18.124554616132055,181.0,181.0,0.0
ALB,Albania,59.07138244195574,51.80198211334894,98.0,98.0,0.0
AND,Andorra,72.9061762698411,62.942516468589645,59.0,59.0,0.0
ARE,United Arab Emirates,88.52667739442803,75.52100022407441,17.0,17.0,0.0
ARG,Argentina,78.46480710325342,67.41863071634317,43.0,43.0,0.0
ARM,Armenia,57.50788995053216,50.5429722551928,99.0,99.0,0.0
ASM,American Samoa,,,,,
ATG,Antigua and Barbuda,76.55799604569164,65.88316192945726,49.0,49.0,0.0
AUS,Australia,96.85246612835417,82.22538169724288,4.0,5.0,1.0
AUT,Austria,82.89717934508555,70.98781980941213,29.0,29.0,0.0
AZE,Azerbaijan,56.21942846123485,49.5054324359879,101.0,101.0,0.0
BDI,Burundi,7.653578830053339,10.39754813798742,197.0,197.0,0.0
BEL,Belgium,93.26579231096744,79.33719533315691,9.0,9.0,0.0
BEN,Benin,16.88395483557205,17.83035286789993,182.0,182.0,0.0
BFA,Burkina Faso,11.15392164924115,13.216216050022533,192.0,192.0,0.0
BGD,Bangladesh,29.613858019680105,28.081168711327688,157.0,157.0,0.0
BGR,Bulgaria,77.56421341472955,66.69342331159743,47.0,47.0,0.0
BHR,Bahrain,71.235052088611,61.596835673886176,64.0,64.0,0.0
BHS,"Bahamas, The",67.53423545960023,58.61673526105317,74.0,74.0,0.0
BIH,Bosnia and Herzegovina,59.26924808040926,51.9613143715912,97.0,97.0,0.0
BLR,Belarus,78.70419433730402,67.61139843939888,40.0,40.0,0.0
BLZ,Belize,46.962155713125554,42.050968974575504,121.0,121.0,0.0
BMU,Bermuda,78.17887043322254,67.18837883579245,44.0,44.0,0.0
BOL,Bolivia,41.480353576585294,37.63672140496837,132.0,132.0,0.0
BRA,Brazil,62.83859920796369,54.83555155626743,85.0,85.0,0.0
BRB,Barbados,70.53325672893232,61.031711580812214,66.0,66.0,0.0
BRN,Brunei Darussalam,61.99090301639829,54.15294011569024,89.0,89.0,0.0
BTN,Bhutan,41.19100838596833,37.403724796801015,134.0,134.0,0.0
BWA,Botswana,53.36323706942206,47.20547056293868,108.0,108.0,0.0
CAF,Central African Republic,0.34143202215558166,3.4196727909161644,204.0,204.0,0.0
CAN,Canada,82.18600270127027,70.41514139210896,34.0,34.0,0.0
CHE,Switzerland,89.14259734376921,76.01697272941692,15.0,15.0,0.0
CHL,Chile,78.48917415927306,67.4382524055494,42.0,42.0,0.0
CHN,China,63.69031069362367,55.52139633175104,83.0,83.0,0.0
CIV,Cote d'Ivoire,28.389059481318313,27.094893789950433,158.0,158.0,0.0
CMR,Cameroon,22.1409456217297,22.06357001496925,170.0,170.0,0.0
COD,"Congo, Dem. Rep.",7.778134849027119,10.497847472100553,196.0,196.0,0.0
COG,"Congo, Rep.",27.42539391932936,26.318897455356616,162.0,162.0,0.0
COL,Colombia,62.322276869808455,54.419780506972664,88.0,88.0,0.0
COM,Comoros,19.63447911703,20.04522579146627,175.0,175.0,0.0
CPV,Cabo Verde,49.33605848996984,43.96256561782504,118.0,118.0,0.0
CRI,Costa Rica,74.28146247593516,64.04997230912394,55.0,55.0,0.0
CUB,Cuba,36.04654767980049,33.261123038563696,142.0,142.0,0.0
CUW,Curacao,68.59248119406311,59.46889273500902,71.0,71.0,0.0
CYM,Cayman Islands,91.11231495148509,77.6030973187586,11.0,11.0,0.0
CYP,Cyprus,84.85676190028471,72.56578309890651,27.0,27.0,0.0
CZE,Czechia,80.18967239074202,68.80758679566668,38.0,38.0,0.0
DEU,Germany,86.30536493367238,73.73227766769676,24.0,24.0,0.0
DJI,Djibouti,23.62560702178607,23.25910075716867,167.0,167.0,0.0
DMA,Dominica,70.694462145749,61.16152301903383,65.0,65.0,0.0
DNK,Denmark,97.92325288686719,83.37270539902386,2.0,3.0,1.0
DOM,Dominican Republic,47.58414023099498,42.551825002931025,120.0,120.0,0.0
DZA,Algeria,43.46704242401771,39.236512166821555,130.0,130.0,0.0
ECU,Ecuador,50.12955203684154,44.60153011773455,116.0,116.0,0.0
EGY,"Egypt, Arab Rep.",38.372223820386004,35.13388495071695,138.0,138.0,0.0
ERI,Eritrea,4.570896064393025,6.514908119454846,201.0,202.0,1.0
ESP,Spain,86.55492678414865,73.93323854962799,23.0,23.0,0.0
EST,Estonia,88.89926787806311,75.8210305053357,16.0,16.0,0.0
ETH,Ethiopia,6.946691092192727,9.828323382858684,199.0,199.0,0.0
FIN,Finland,97.23687911303341,82.82420264045945,3.0,4.0,1.0
FJI,Fiji,52.798880080282096,46.7510193796141,110.0,110.0,0.0
FRA,France,82.30854155267319,70.51381639232143,33.0,33.0,0.0
FRO,Faroe Islands,82.47237972414838,70.64574786891058,31.0,31.0,0.0
FSM,"Micronesia, Fed. Sts.",21.375298585125307,21.44702905155518,172.0,172.0,0.0
GAB,Gabon,44.318138520151386,39.92186139692553,126.0,126.0,0.0
GBR,United Kingdom,87.70179267154388,74.85675782850784,19.0,19.0,0.0
GEO,Georgia,72.75848722517416,62.82358915413351,60.0,60.0,0.0
GHA,Ghana,34.69326587428363,32.17138634756257,145.0,145.0,0.0
GIB,Gibraltar,94.8352543573873,80.60101220422186,6.0,6.0,0.0
GIN,Guinea,20.6640665697152,20.874306046008627,173.0,173.0,0.0
GMB,"Gambia, The",32.03511201279419,30.030895149511565,149.0,149.0,0.0
GNB,Guinea-Bissau,17.80159883849351,18.569290120424906,178.0,178.0,0.0
GNQ,Equatorial Guinea,17.648743214051688,18.446202392723933,179.0,179.0,0.0
GRC,Greece,88.42231803989773,75.4369643512671,18.0,18.0,0.0
GRD,Grenada,64.10234016875623,55.85318505084522,81.0,81.0,0.0
GRL,Greenland,64.95416773125166,56.53912329775958,79.0,79.0,0.0
GTM,Guatemala,38.84189537018805,35.512090228030324,136.0,136.0,0.0
GUM,Guam,,,,,
GUY,Guyana,41.45218533412375,37.61403879207413,133.0,133.0,0.0
HKG,"Hong Kong SAR, China",98.45362841286523,90.21068875488893,1.0,1.0,0.0
HND,Honduras,29.63280655148026,28.096427107811742,156.0,156.0,0.0
HRV,Croatia,75.0132176757387,64.63922170773847,54.0,54.0,0.0
HTI,Haiti,16.342109993399895,17.39402969933475,183.0,183.0,0.0
HUN,Hungary,73.49243322579541,63.414602705656904,56.0,56.0,0.0
IDN,Indonesia,50.121786351815345,44.595276762469375,117.0,117.0,0.0
IMN,Isle of Man,,,,,
IND,India,32.58777536490234,30.47592997530228,147.0,147.0,0.0
IRL,Ireland,86.87005210140185,74.18699472892061,22.0,22.0,0.0
IRN,"Iran, Islamic Rep.",59.51882115212889,52.16228428948267,95.0,95.0,0.0
IRQ,Iraq,39.72678084365297,36.22464851695253,135.0,135.0,0.0
ISL,Iceland,89.98683632603851,76.69680023555927,14.0,14.0,0.0
ISR,Israel,75.61466066078333,65.12353656786331,50.0,50.0,0.0
ITA,Italy,75.55211510598696,65.07317145865784,52.0,52.0,0.0
JAM,Jamaica,51.14177633480038,45.41662860831636,112.0,112.0,0.0
JOR,Jordan,43.76113458018062,39.47333129185513,128.0,128.0,0.0
JPN,Japan,82.31415420303446,70.51833600605414,32.0,32.0,0.0
KAZ,Kazakhstan,65.29850101470909,56.81639933249732,76.0,76.0,0.0
KEN,Kenya,26.411441345344667,25.50240726218199,164.0,164.0,0.0
KGZ,Kyrgyz Republic,50.41310471005861,44.829862273370146,115.0,115.0,0.0
KHM,Cambodia,30.85848434166597,29.083410050954488,152.0,152.0,0.0
KIR,Kiribati,14.984055623523876,16.300449877899773,185.0,185.0,0.0
KNA,St. Kitts and Nevis,85.9436084386077,73.44097150790591,26.0,26.0,0.0
KOR,"Korea, Rep.",87.38611380622116,74.60255590196647,20.0,20.0,0.0
KWT,Kuwait,70.21382066325863,60.77448415059437,68.0,68.0,0.0
LAO,Lao PDR,22.344862536124566,22.2277750923049,169.0,169.0,0.0
LBN,Lebanon,43.86869745544069,39.559946815157545,127.0,127.0,0.0
LBR,Liberia,10.032876138858242,12.313488754077127,194.0,194.0,0.0
LBY,Libya,71.5308627098748,61.835038601217995,63.0,63.0,0.0
LCA,St. Lucia,46.90922484480705,42.00834613795856,122.0,122.0,0.0
LIE,Liechtenstein,87.05429879522308,74.38733087787416,21.0,21.0,0.0
LKA,Sri Lanka,43.497707680627826,39.261205512384,129.0,129.0,0.0
LSO,Lesotho,28.042422752761183,26.815762894953266,159.0,159.0,0.0
LTU,Lithuania,80.73531939072093,69.24697167011611,37.0,37.0,0.0
LUX,Luxembourg,78.66856920038762,67.58271112633412,41.0,41.0,0.0
LVA,Latvia,81.4191286957522,69.79761240606835,35.0,35.0,0.0
MAC,"Macao SAR, China",96.29796182436141,83.97095393755674,5.0,2.0,-3.0
MAF,St. Martin (French part),,,,,
MAR,Morocco,50.79674579654147,45.138791105791896,113.0,113.0,0.0
MCO,Monaco,91.23174848578473,77.6992717474191,10.0,10.0,0.0
MDA,Moldova,64.98698206535013,56.565547198319024,77.0,77.0,0.0
MDG,Madagascar,5.645515668771996,8.780545606973378,200.0,200.0,0.0
MDV,Maldives,61.8380593679321,54.02986203170132,90.0,90.0,0.0
MEX,Mexico,53.97630224252733,47.699144245969244,106.0,106.0,0.0
MHL,Marshall Islands,31.85438503428957,29.88536387972919,150.0,150.0,0.0
MKD,North Macedonia,59.64696145067087,52.2654698819792,94.0,94.0,0.0
MLI,Mali,25.543328930590707,24.803355559562167,166.0,166.0,0.0
MLT,Malta,79.69516826641103,68.40938496812565,39.0,39.0,0.0
MMR,Myanmar,31.566619862030493,29.65363958895354,151.0,151.0,0.0
MNE,Montenegro,73.03316071310118,63.04477130305408,58.0,58.0,0.0
MNG,Mongolia,55.46822224871682,48.90052001571322,102.0,102.0,0.0
MNP,Northern Mariana Islands,,,,,
MOZ,Mozambique,11.253063523972893,13.296050522095817,191.0,191.0,0.0
MRT,Mauritania,18.935554337469917,19.4824132468569,176.0,176.0,0.0
MUS,Mauritius,64.97159258163808,56.553154742447504,78.0,78.0,0.0
MWI,Malawi,7.2446510800136465,10.068257097961503,198.0,198.0,0.0
MYS,Malaysia,60.360784004869984,52.84027893136106,91.0,91.0,0.0
NAM,Namibia,38.40543993732721,35.16063238884539,137.0,137.0,0.0
NCL,New Caledonia,59.32078384893048,52.002813797377875,96.0,96.0,0.0
NER,Niger,3.8058892501705044,5.639440873794255,203.0,203.0,0.0
NGA,Nigeria,27.936975286939727,26.730850815288644,160.0,160.0,0.0
NIC,Nicaragua,36.72813653415217,33.80997574591298,140.0,140.0,0.0
NLD,Netherlands,94.53828015295679,80.38306100649811,7.0,7.0,0.0
NOR,Norway,91.10184282593127,77.59466458922492,12.0,12.0,0.0
NPL,Nepal,36.5531778657846,33.66908943564738,141.0,141.0,0.0
NRU,Nauru,,,,,
NZL,New Zealand,86.05334646920728,73.52933858552053,25.0,25.0,0.0
OMN,Oman,62.49133245087104,54.55591332775795,87.0,87.0,0.0
PAK,Pakistan,14.883952140136177,16.21984106582539,186.0,186.0,0.0
PAN,Panama,63.29529670322576,55.203309413682284,84.0,84.0,0.0
PER,Peru,54.12149150211472,47.81605859645166,105.0,105.0,0.0
PHL,Philippines,44.800009255870776,40.30989012744746,125.0,125.0,0.0
PLW,Palau,53.26242817079876,47.12429371184869,109.0,109.0,0.0
PNG,Papua New Guinea,14.621277340780807,16.008320918660193,187.0,187.0,0.0
POL,Poland,77.47298284104397,66.61995945279067,48.0,48.0,0.0
PRI,Puerto Rico (US),64.42217456135101,56.11073323573453,80.0,80.0,0.0
PRK,"Korea, Dem. People's Rep.",,,,,
PRT,Portugal,81.30787423529463,69.70802421600779,36.0,36.0,0.0
PRY,Paraguay,52.73571001626653,46.70015138135238,111.0,111.0,0.0
PSE,West Bank and Gaza,48.73251763448787,43.476561437427655,119.0,119.0,0.0
PYF,French Polynesia,57.150886650556934,50.25549362863807,100.0,100.0,0.0
QAT,Qatar,62.559653373589825,54.610929079795845,86.0,86.0,0.0
ROU,Romania,67.54503953266465,58.62543529291834,73.0,73.0,0.0
RUS,Russian Federation,77.77848405464322,66.86596577626837,46.0,46.0,0.0
RWA,Rwanda,17.388770749312766,18.23685831352248,180.0,180.0,0.0
SAU,Saudi Arabia,75.30049926369017,64.87055658992158,53.0,53.0,0.0
SDN,Sudan,14.130467997635991,15.613094331462563,188.0,188.0,0.0
SEN,Senegal,26.885815571741002,25.88439939246998,163.0,163.0,0.0
SGP,Singapore,90.06498902998374,76.75973307677745,13.0,13.0,0.0
SLB,Solomon Islands,22.13451928564481,22.058395176889064,171.0,171.0,0.0
SLE,Sierra Leone,20.388231076062137,20.652188186381196,174.0,174.0,0.0
SLV,El Salvador,45.28067397326192,40.696947705902645,123.0,123.0,0.0
SMR,San Marino,69.25600250300037,60.00319646440399,69.0,69.0,0.0
SOM,"Somalia, Fed. Rep.",8.158713492658674,10.804310257668229,195.0,195.0,0.0
SRB,Serbia,70.30845009782043,60.850684958489886,67.0,67.0,0.0
SSD,South Sudan,0.2959404352589937,3.145145407104358,205.0,205.0,0.0
