country_iso3,country_name,dii_baseline_0_100_mean_2015_2022,dii_strict_0_100_mean_2015_2022,rank_baseline,rank_strict,rank_change_strict_minus_baseline
ABW,Aruba,71.5996272426294,,62.0,,
AFG,Afghanistan,15.900406192622263,14.68797087368291,184.0,134.0,-50.0
AGO,Angola,17.24930719667134,10.068640069362385,181.0,142.0,-39.0
ALB,Albania,59.07138244195574,57.43378859413894,98.0,82.0,-16.0
AND,Andorra,72.9061762698411,71.62379572914541,59.0,52.0,-7.0
ARE,United Arab Emirates,88.52667739442803,86.14914953392756,17.0,17.0,0.0
ARG,Argentina,78.46480710325342,76.91178701654842,43.0,40.0,-3.0
ARM,Armenia,57.50788995053216,57.04323055778361,99.0,83.0,-16.0
ASM,American Samoa,,,,,
ATG,Antigua and Barbuda,76.55799604569164,,49.0,,
AUS,Australia,96.85246612835417,95.37963370880716,4.0,4.0,0.0
AUT,Austria,82.89717934508555,81.36348861344217,29.0,27.0,-2.0
AZE,Azerbaijan,56.21942846123485,54.56939738384773,101.0,88.0,-13.0
BDI,Burundi,7.653578830053339,2.3449416382348645,197.0,147.0,-50.0
BEL,Belgium,93.26579231096744,91.77731858515733,9.0,8.0,-1.0
BEN,Benin,16.88395483557205,14.5129496092371,182.0,135.0,-47.0
BFA,Burkina Faso,11.15392164924115,9.307362136362949,192.0,143.0,-49.0
BGD,Bangladesh,29.613858019680105,27.847801371870798,157.0,125.0,-32.0
BGR,Bulgaria,77.56421341472955,76.00726588370759,47.0,43.0,-4.0
BHR,Bahrain,71.235052088611,69.59438268340983,64.0,57.0,-7.0
BHS,"Bahamas, The",67.53423545960023,,74.0,,
BIH,Bosnia and Herzegovina,59.26924808040926,57.63251711480801,97.0,81.0,-16.0
BLR,Belarus,78.70419433730402,77.15221820642935,40.0,37.0,-3.0
BLZ,Belize,46.962155713125554,45.271754129362236,121.0,102.0,-19.0
BMU,Bermuda,78.17887043322254,66.30123770516457,44.0,62.0,18.0
BOL,Bolivia,41.480353576585294,,132.0,,
BRA,Brazil,62.83859920796369,61.21743400523609,85.0,72.0,-13.0
BRB,Barbados,70.53325672893232,68.94564754523596,66.0,58.0,-8.0
BRN,Brunei Darussalam,61.99090301639829,60.36604105270903,89.0,75.0,-14.0
BTN,Bhutan,41.19100838596833,42.298004060079,134.0,109.0,-25.0
BWA,Botswana,53.36323706942206,52.18165202704342,108.0,92.0,-16.0
CAF,Central African Republic,0.34143202215558166,,204.0,,
CAN,Canada,82.18600270127027,80.64921056362806,34.0,31.0,-3.0
