country_iso3,country_name,dii_baseline_0_100_mean_2015_2022,dii_strict_0_100_mean_2015_2022,rank_baseline,rank_strict,rank_change_strict_minus_baseline
ABW,Aruba,76.95014886092954,71.5996272426294,50.0,62.0,12.0
AFG,Afghanistan,17.73661099728401,15.900406192622263,190.0,184.0,-6.0
AGO,Angola,19.194863258386356,17.24930719667134,185.0,181.0,-4.0
ALB,Albania,60.39463032222282,59.071382441955734,100.0,98.0,-2.0
AND,Andorra,73.20461798103148,72.9061762698411,60.0,59.0,-1.0
ARE,United Arab Emirates,88.92324693407762,88.52667739442803,16.0,17.0,1.0
ARG,Argentina,79.17792812473265,78.46480710325342,42.0,43.0,1.0
ARM,Armenia,59.37933975071478,57.50788995053215,102.0,99.0,-3.0
ASM,American Samoa,,,,,
ATG,Antigua and Barbuda,78.12320134334392,76.55799604569164,48.0,49.0,1.0
AUS,Australia,96.98710218199605,96.85246612835418,4.0,4.0,0.0
AUT,Austria,83.4708557145697,82.89717934508555,29.0,29.0,0.0
AZE,Azerbaijan,57.63240024298165,56.21942846123485,104.0,101.0,-3.0
BDI,Burundi,9.39889504892082,7.6535788300533385,203.0,197.0,-6.0
BEL,Belgium,93.51326692035269,93.26579231096744,8.0,9.0,1.0
BEN,Benin,18.82910830162488,16.88395483557205,187.0,182.0,-5.0
BFA,Burkina Faso,13.984676859706237,11.15392164924115,196.0,192.0,-4.0
BGD,Bangladesh,31.86385438080197,29.613858019680105,160.0,157.0,-3.0
BGR,Bulgaria,78.30566756497895,77.56421341472955,46.0,47.0,1.0
BHR,Bahrain,70.91632856376513,71.235052088611,66.0,64.0,-2.0
BHS,"Bahamas, The",62.94320884566872,67.53423545960023,91.0,74.0,-17.0
BIH,Bosnia and Herzegovina,60.58627100853096,59.26924808040927,98.0,97.0,-1.0
BLR,Belarus,79.40978411643196,78.70419433730402,39.0,40.0,1.0
BLZ,Belize,48.66636593477606,46.962155713125554,123.0,121.0,-2.0
BMU,Bermuda,70.59137111790648,78.17887043322254,68.0,44.0,-24.0
BOL,Bolivia,47.24178330630751,41.480353576585294,128.0,132.0,4.0
BRA,Brazil,64.04332856084534,62.83859920796369,83.0,85.0,2.0
BRB,Barbados,71.49590830005498,70.53325672893232,63.0,66.0,3.0
BRN,Brunei Darussalam,63.222301316286405,61.99090301639829,89.0,89.0,0.0
BTN,Bhutan,44.318525878783866,41.19100838596833,135.0,134.0,-1.0
BWA,Botswana,47.817267395593845,53.36323706942206,127.0,108.0,-19.0
CAF,Central African Republic,2.775356220286489,0.34143202215558166,209.0,204.0,-5.0
CAN,Canada,82.78205304437239,82.18600270127027,33.0,34.0,1.0
CHE,Switzerland,89.5197897331465,89.14259734376921,12.0,15.0,3.0
CHL,Chile,79.20152858095845,78.48917415927306,41.0,42.0,1.0
CHN,China,64.53449793519333,63.69031069362367,82.0,83.0,1.0
CIV,Cote d'Ivoire,29.509467650447366,28.389059481318313,164.0,158.0,-6.0
CMR,Cameroon,23.17349880631168,22.1409456217297,178.0,170.0,-8.0
COD,"Congo, Dem. Rep.",10.252410430709169,7.778134849027118,201.0,196.0,-5.0
COG,"Congo, Rep.",23.97390532291352,27.42539391932936,173.0,162.0,-11.0
COL,Colombia,63.5432499822015,62.322276869808455,86.0,88.0,2.0
COM,Comoros,22.041531606915555,19.63447911703,179.0,175.0,-4.0
CPV,Cabo Verde,52.452632822562826,49.33605848996984,112.0,118.0,6.0
CRI,Costa Rica,79.1113123363715,74.28146247593516,43.0,55.0,12.0
