country_iso3,country_name,region,income_group,lending_type,dii_arith_z_mean,years_with_score,rank_arithmetic,dii_geom_z_mean,rank_geometric,delta_rank
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,1.6245301915925467,8,1.0,1.5217298861058848,1.0,0.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,1.3835302931045734,8,2.0,1.1972929094057396,7.0,5.0
DNK,Denmark,Europe & Central Asia,High income,Not classified,1.3604238885412705,8,3.0,1.3262190053831153,2.0,-1.0
FIN,Finland,Europe & Central Asia,High income,Not classified,1.3392388361305159,8,4.0,1.295690462529579,3.0,-1.0
AUS,Australia,East Asia & Pacific,High income,Not classified,1.31611032334071,8,5.0,1.2234480698611163,4.0,-1.0
GIB,Gibraltar,Europe & Central Asia,High income,Not classified,1.2533716181897112,1,6.0,1.209545218048488,5.0,-1.0
NLD,Netherlands,Europe & Central Asia,High income,Not classified,1.2449535975422865,8,7.0,1.198468709821073,6.0,-1.0
SWE,Sweden,Europe & Central Asia,High income,Not classified,1.209245126049056,8,8.0,1.1921318686328097,8.0,0.0
BEL,Belgium,Europe & Central Asia,High income,Not classified,1.2045586883857067,8,9.0,1.1293451739928515,9.0,0.0
MCO,Monaco,Europe & Central Asia,High income,Not classified,1.1412964778190988,7,10.0,1.0309856519536926,15.0,5.0
CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified,1.1375818924684609,3,11.0,1.1235494287881573,10.0,-1.0
NOR,Norway,Europe & Central Asia,High income,Not classified,1.1372561916140038,8,12.0,1.106834732810261,11.0,-1.0
SGP,Singapore,East Asia & Pacific,High income,Not classified,1.1050082811442632,8,13.0,1.1011448886602646,12.0,-1.0
ISL,Iceland,Europe & Central Asia,High income,Not classified,1.102577599586609,8,14.0,1.076975810344565,13.0,-1.0
CHE,Switzerland,Europe & Central Asia,High income,Not classified,1.0763203362948197,8,15.0,1.0068654908550048,17.0,2.0
EST,Estonia,Europe & Central Asia,High income,Not classified,1.0687523774799814,8,16.0,1.053341342319453,14.0,-2.0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.0571641819165356,8,17.0,0.9247796075677305,27.0,10.0
GRC,Greece,Europe & Central Asia,High income,Not classified,1.0539184291067119,8,18.0,0.962820138664326,22.0,4.0
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,1.031508868896135,8,19.0,1.0061210788157338,18.0,-1.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1.0216907211245743,8,20.0,1.0168138807936395,16.0,-4.0
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,1.0133779946262882,8,21.0,0.9306217048080979,26.0,5.0
IRL,Ireland,Europe & Central Asia,High income,Not classified,1.005640327405693,8,22.0,0.9660168005412472,21.0,-1.0
ESP,Spain,Europe & Central Asia,High income,Not classified,0.995839395917331,8,23.0,0.9702818443019735,20.0,-3.0
