country_iso3,rank_baseline,rank_alt,delta_rank,indicator_removed
ABW,62.0,,,IT.NET.USER.ZS
AFG,184.0,133.0,-51.0,IT.NET.USER.ZS
AGO,181.0,140.0,-41.0,IT.NET.USER.ZS
ALB,98.0,69.0,-29.0,IT.NET.USER.ZS
AND,59.0,54.0,-5.0,IT.NET.USER.ZS
ARE,17.0,47.0,30.0,IT.NET.USER.ZS
ARG,43.0,39.0,-4.0,IT.NET.USER.ZS
ARM,99.0,79.0,-20.0,IT.NET.USER.ZS
ASM,,,,IT.NET.USER.ZS
ATG,49.0,,,IT.NET.USER.ZS
AUS,5.0,1.0,-4.0,IT.NET.USER.ZS
AUT,29.0,31.0,2.0,IT.NET.USER.ZS
AZE,101.0,88.0,-13.0,IT.NET.USER.ZS
BDI,197.0,146.0,-51.0,IT.NET.USER.ZS
BEL,9.0,4.0,-5.0,IT.NET.USER.ZS
BEN,182.0,142.0,-40.0,IT.NET.USER.ZS
BFA,192.0,149.0,-43.0,IT.NET.USER.ZS
BGD,157.0,124.0,-33.0,IT.NET.USER.ZS
BGR,47.0,32.0,-15.0,IT.NET.USER.ZS
BHR,64.0,73.0,9.0,IT.NET.USER.ZS
BHS,74.0,,,IT.NET.USER.ZS
BIH,97.0,70.0,-27.0,IT.NET.USER.ZS
BLR,40.0,34.0,-6.0,IT.NET.USER.ZS
BLZ,121.0,83.0,-38.0,IT.NET.USER.ZS
BMU,44.0,50.0,6.0,IT.NET.USER.ZS
BOL,132.0,,,IT.NET.USER.ZS
BRA,85.0,66.0,-19.0,IT.NET.USER.ZS
BRB,66.0,51.0,-15.0,IT.NET.USER.ZS
BRN,89.0,82.0,-7.0,IT.NET.USER.ZS
BTN,134.0,116.0,-18.0,IT.NET.USER.ZS
BWA,108.0,120.0,12.0,IT.NET.USER.ZS
CAF,204.0,,,IT.NET.USER.ZS
CAN,34.0,16.0,-18.0,IT.NET.USER.ZS
CHE,15.0,13.0,-2.0,IT.NET.USER.ZS
CHL,42.0,40.0,-2.0,IT.NET.USER.ZS
CHN,83.0,,,IT.NET.USER.ZS
CIV,158.0,136.0,-22.0,IT.NET.USER.ZS
CMR,170.0,137.0,-33.0,IT.NET.USER.ZS
COD,196.0,,,IT.NET.USER.ZS
COG,162.0,,,IT.NET.USER.ZS
COL,88.0,71.0,-17.0,IT.NET.USER.ZS
COM,175.0,135.0,-40.0,IT.NET.USER.ZS
CPV,118.0,107.0,-11.0,IT.NET.USER.ZS
CRI,55.0,62.0,7.0,IT.NET.USER.ZS
CUB,142.0,112.0,-30.0,IT.NET.USER.ZS
CUW,71.0,,,IT.NET.USER.ZS
CYM,11.0,,,IT.NET.USER.ZS
CYP,27.0,28.0,1.0,IT.NET.USER.ZS
CZE,38.0,33.0,-5.0,IT.NET.USER.ZS
DEU,24.0,19.0,-5.0,IT.NET.USER.ZS
DJI,167.0,,,IT.NET.USER.ZS
DMA,65.0,,,IT.NET.USER.ZS
DNK,3.0,3.0,0.0,IT.NET.USER.ZS
DOM,120.0,98.0,-22.0,IT.NET.USER.ZS
DZA,130.0,85.0,-45.0,IT.NET.USER.ZS
ECU,116.0,80.0,-36.0,IT.NET.USER.ZS
EGY,138.0,117.0,-21.0,IT.NET.USER.ZS
ERI,202.0,153.0,-49.0,IT.NET.USER.ZS
ESP,23.0,12.0,-11.0,IT.NET.USER.ZS
EST,16.0,21.0,5.0,IT.NET.USER.ZS
ETH,199.0,,,IT.NET.USER.ZS
FIN,4.0,2.0,-2.0,IT.NET.USER.ZS
FJI,110.0,84.0,-26.0,IT.NET.USER.ZS
FRA,33.0,22.0,-11.0,IT.NET.USER.ZS
FRO,31.0,,,IT.NET.USER.ZS
FSM,172.0,,,IT.NET.USER.ZS
GAB,126.0,,,IT.NET.USER.ZS
GBR,19.0,14.0,-5.0,IT.NET.USER.ZS
GEO,60.0,52.0,-8.0,IT.NET.USER.ZS
GHA,145.0,125.0,-20.0,IT.NET.USER.ZS
GIB,6.0,,,IT.NET.USER.ZS
GIN,173.0,,,IT.NET.USER.ZS
GMB,149.0,,,IT.NET.USER.ZS
GNB,178.0,,,IT.NET.USER.ZS
GNQ,179.0,,,IT.NET.USER.ZS
