country_iso3,country_name,region,income_group,lending_type,dii_equal_z_mean,years_with_score,rank_equal,dii_pca_z_mean,rank_pca,delta_rank
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,1.6245301915925467,8,1.0,1.545701984395333,1.0,0.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,1.3835302931045734,8,2.0,1.2844573010631342,7.0,5.0
DNK,Denmark,Europe & Central Asia,High income,Not classified,1.3604238885412705,8,3.0,1.3934663772769709,2.0,-1.0
FIN,Finland,Europe & Central Asia,High income,Not classified,1.3392388361305159,8,4.0,1.3805857795792726,3.0,-1.0
AUS,Australia,East Asia & Pacific,High income,Not classified,1.31611032334071,8,5.0,1.3760303986969298,4.0,-1.0
GIB,Gibraltar,Europe & Central Asia,High income,Not classified,1.2533716181897112,1,6.0,1.3025540057868301,5.0,-1.0
NLD,Netherlands,Europe & Central Asia,High income,Not classified,1.2449535975422865,8,7.0,1.2854184565770028,6.0,-1.0
SWE,Sweden,Europe & Central Asia,High income,Not classified,1.209245126049056,8,8.0,1.2366493626746837,9.0,1.0
BEL,Belgium,Europe & Central Asia,High income,Not classified,1.2045586883857067,8,9.0,1.2606475815496307,8.0,-1.0
MCO,Monaco,Europe & Central Asia,High income,Not classified,1.1412964778190988,7,10.0,1.2146905986167393,10.0,0.0
CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified,1.1375818924684609,3,11.0,1.163917852939246,12.0,1.0
NOR,Norway,Europe & Central Asia,High income,Not classified,1.1372561916140038,8,12.0,1.1689880678004054,11.0,-1.0
SGP,Singapore,East Asia & Pacific,High income,Not classified,1.1050082811442632,8,13.0,1.101525397713286,15.0,2.0
ISL,Iceland,Europe & Central Asia,High income,Not classified,1.102577599586609,8,14.0,1.1204279712516925,13.0,-1.0
CHE,Switzerland,Europe & Central Asia,High income,Not classified,1.0763203362948197,8,15.0,1.0871757810511045,16.0,1.0
EST,Estonia,Europe & Central Asia,High income,Not classified,1.0687523774799814,8,16.0,1.0691520826647818,17.0,1.0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.0571641819165356,8,17.0,0.980284351845133,26.0,9.0
GRC,Greece,Europe & Central Asia,High income,Not classified,1.0539184291067119,8,18.0,1.1120953466394445,14.0,-4.0
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,1.031508868896135,8,19.0,1.050766253887751,18.0,-1.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1.0216907211245743,8,20.0,1.027375720653459,20.0,0.0
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,1.0133779946262882,8,21.0,1.022082586474243,22.0,1.0
IRL,Ireland,Europe & Central Asia,High income,Not classified,1.005640327405693,8,22.0,1.04479765392195,19.0,-3.0
ESP,Spain,Europe & Central Asia,High income,Not classified,0.995839395917331,8,23.0,1.0263295007906388,21.0,-2.0
DEU,Germany,Europe & Central Asia,High income,Not classified,0.9880775993725568,8,24.0,1.0011356354963494,24.0,0.0
NZL,New Zealand,East Asia & Pacific,High income,Not classified,0.9802393979688913,8,25.0,0.9960467567912668,25.0,0.0
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,IBRD,0.9768263592167239,8,26.0,1.0139701015623448,23.0,-3.0
CYP,Cyprus,Europe & Central Asia,High income,Not classified,0.9430235897238872,8,27.0,0.9490530104603376,27.0,0.0
USA,United States,North America,High income,Not classified,0.8979910001740135,8,28.0,0.9281912803919077,28.0,0.0
AUT,Austria,Europe & Central Asia,High income,Not classified,0.8820772508619277,8,29.0,0.8907075018275983,32.0,3.0
SVN,Slovenia,Europe & Central Asia,High income,Not classified,0.8720348371264359,8,30.0,0.8946714267584843,30.0,0.0
FRO,Faroe Islands,Europe & Central Asia,High income,Not classified,0.8688652626364881,3,31.0,0.8894817300644889,33.0,2.0
