indicator_code,n,min_year,p10,median,p90,max_year,staleness_median
ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,45,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,45,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_PROBLEM_SOLVING,83,2021.0,2022.0,2023.0,2024.0,2025.0,2.0
ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,29,2022.0,2022.8,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,29,2022.0,2022.8,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,45,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,45,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,43,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,43,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_SAFETY,49,2021.0,2021.8,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,44,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,44,2022.0,2023.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_DATA_LITERACY,79,2021.0,2022.0,2023.0,2024.0,2024.0,2.0
ITU_SKILL_CONTENT_CREATION,79,2021.0,2022.0,2023.0,2024.0,2025.0,2.0
ITU_SKILL_COMM_COLLAB,80,2021.0,2022.0,2023.0,2024.0,2025.0,2.0
ITU_MB_DATAONLY_5GB,210,2024.0,2025.0,2025.0,2025.0,2025.0,0.0
ITU_MB_LOW_BASKET_1GB,210,2025.0,2025.0,2025.0,2025.0,2025.0,0.0
ITU_MB_HIGH_BASKET_5GB,210,2025.0,2025.0,2025.0,2025.0,2025.0,0.0
ITU_FIXED_BB_5GB,213,2022.0,2025.0,2025.0,2025.0,2025.0,0.0
