country_iso3,score_p05,score_p50,score_p95,rank_p05,rank_p50,rank_p95
ALB,-0.5734957033476225,-0.15389267292015693,0.2498221918262304,49.0,65.0,67.0
ARE,0.011394121689542777,0.7537711134729881,1.525364291414665,1.0,2.0,69.04999999999995
AUT,0.3344671055604228,0.38878982797386785,0.44525041671159155,15.0,17.0,42.0
AZE,0.3335586877914419,0.4768733499045681,0.6147614375388079,6.0,13.0,26.0
BEL,-0.06399925726811437,0.194231605420204,0.46262512271609335,17.0,40.0,74.0
BGD,-1.3014702664404831,-0.2720449527352995,0.7184014243216389,6.0,74.0,79.0
BGR,-0.14817917141884254,0.15941529768535068,0.45536277777058465,27.0,46.5,53.0
BHR,-0.052391695424717624,0.6187551491211186,1.3163149231714846,3.0,6.0,73.0
BIH,-0.38918350444998273,0.0067991827234887454,0.3877880827113878,35.0,57.0,61.0
BLR,0.21025535784718177,0.4668369926591047,0.7137032268923886,3.0,11.0,34.0
BRA,-0.14502268374785243,0.2104789076632094,0.5525195186364708,16.0,37.0,52.0
BRN,0.37904831550889295,0.6229880486187669,0.8765280100934851,4.0,6.0,35.0
BTN,-1.136267291019707,-0.2389506388261085,0.6243893387378561,11.0,70.0,77.0
CAN,-0.5098655836755414,-0.06836348853827073,0.39051388566010325,21.0,62.0,81.0
CHE,-1.0281841400457326,-0.30164749851592665,0.45348193347566007,18.0,75.0,84.0
CHL,0.028563466200849423,0.24140636419417272,0.44619001813505504,24.0,30.0,44.0
CHN,0.2826733353297023,0.527302870642314,0.7626695686880633,2.0,9.0,31.0
CIV,-1.5131428280872214,-0.5678632889737012,0.34162347257796793,41.0,80.0,81.0
COL,-0.6433346716744924,-0.09405853185148925,0.43441940185445976,29.0,64.0,66.0
CRI,-0.8698517670422926,-0.4104923427804472,0.031473549713046105,68.0,76.0,78.0
CYP,0.13120339436131195,0.23885136881746943,0.350735820556836,23.0,31.0,62.0
CZE,0.0488012598046152,0.08911711491659784,0.12790642007744935,42.0,53.0,63.0
DEU,0.22049307608074373,0.24881166468765534,0.278244729046961,26.0,32.0,52.0
DNK,0.05541605267017887,0.45820765264580743,0.8768510832925202,8.0,13.0,66.0
DOM,-0.6478909001694153,-0.20222057771058952,0.22657454745723532,51.0,68.0,69.0
ECU,-1.0576761257211005,-0.4462244385113776,0.14207478075151936,61.0,75.0,79.0
EGY,-0.12185417001155438,0.31899662132165085,0.7431547057261172,4.0,20.0,50.0
ESP,0.34584131656240646,0.42539748592780136,0.5080845818708523,12.0,15.0,40.0
EST,0.08454369771381666,0.30340189067294154,0.5139730719132675,13.0,23.0,41.0
FIN,0.12670230332733662,0.22734396689847888,0.33194637495754614,26.0,35.0,64.0
FRA,0.16631613279784846,0.18449165616829438,0.20197896781072736,37.0,42.0,54.0
GEO,-0.34721590804988894,0.13874001404156022,0.6062953345071717,14.0,49.0,59.0
GRC,0.12975617335252715,0.16973049053299916,0.20819119001222555,39.0,45.0,54.0
HKG,-0.22555019517392946,0.1571226918078747,0.5253057639191105,22.0,47.0,55.0
HRV,0.2977015591696672,0.46577802192997153,0.6274903107120642,5.0,13.0,29.0
HUN,0.3096261998177187,0.3597845065564135,0.4080435813307087,17.0,22.0,33.0
IDN,-0.6868859861188065,-0.007985174024163506,0.6452092255772484,9.0,57.0,69.0
IND,0.8186277927518989,0.9486459474995171,1.0837809561570748,1.0,1.0,4.0
IRN,-1.2001601126371613,-0.16989139148569052,0.8213664576017454,1.0,67.0,78.0
IRQ,-1.432901637434124,-0.6070415161409037,0.1875476145135341,56.0,80.0,81.0
ISL,-0.3988855462605236,0.14954432948286878,0.7195576184001554,11.0,48.0,80.0
ISR,0.2561649605865377,0.6426495835038821,1.0443442773358986,3.0,5.0,48.0
ITA,0.04791858862144066,0.09641309624599231,0.14307137125092664,43.0,51.0,61.0
JAM,-0.6561471905797793,-0.4465832927272658,-0.22877202471179112,56.0,78.5,83.0
JOR,-0.6778695132885011,-0.25817617171043505,0.14562558457701819,59.0,70.0,74.0
JPN,0.01109951267312509,0.18854842155384477,0.37298081781740955,21.0,42.0,70.0
KAZ,-0.91017626803423,-0.2650451815471724,0.35565817481201095,38.0,72.0,73.0
KOR,0.2429037161306404,0.450077710338472,0.6654050202456215,10.0,13.0,50.0
KWT,0.15081365320049242,0.29221019201094084,0.439171380111087,18.0,22.0,58.0
LTU,0.13239865865127956,0.36099894480853956,0.5809433372809795,8.0,19.0,38.0
LUX,0.0509631674478181,0.2527991934286674,0.46257845980322543,16.0,26.0,67.0
LVA,0.11856112655164797,0.2402962814543384,0.35742196461814446,28.0,36.0,40.0
MAC,-0.065193021000671,0.11032851163282478,0.27920396454607455,46.0,50.0,53.0
MAR,-0.4280489950503405,0.10371647510620657,0.6153467763515174,12.0,51.0,62.0
MEX,-0.3658502902779275,-0.0102601654410669,0.3318656266615716,42.0,59.0,60.0
MLT,0.24323473432455686,0.25531170828608496,0.26693139059499715,25.0,33.0,47.0
MNE,0.1865107940597195,0.23998883281745945,0.29144193877331637,30.0,35.0,45.0
MNG,-0.7381738468309412,-0.05433366206519098,0.6036130820743827,17.0,61.0,70.0
MWI,-1.7902718075378752,-0.695673956192283,0.3574772163754795,37.95,82.0,84.0
MYS,0.5447386013447113,0.5619313507100148,0.5784731008436138,3.0,9.0,19.0
NER,-1.7862227896548397,-0.931785375832842,-0.10970102481185919,76.0,84.0,84.0
NLD,-0.1500133051818008,0.6535031218631027,1.4886418725704682,2.0,3.0,77.0
NOR,-0.9560019152068994,-0.06611103413239766,0.8588014302208724,9.0,62.0,83.0
OMN,-0.06860802590244103,0.4279903738446793,0.9441323632416307,6.0,15.0,75.0
PER,-0.5079690726620877,-0.03768619053964355,0.414789545765659,31.0,60.0,63.0
POL,-0.08832163566482297,0.20274987461253138,0.48280003364841106,24.0,38.0,49.0
PRT,-0.012740864735683812,0.2282162711448606,0.4600496242609954,25.0,34.0,46.0
PRY,-0.32526698113104535,0.04869229950965735,0.40849170384359584,33.0,55.0,58.0
PSE,-0.653007606378768,-0.32591254433356864,-0.01120285646915715,67.0,73.0,76.0
ROU,-0.24679546616342368,0.19211362505163215,0.6144035313359877,11.0,41.0,57.0
