countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,group,group2,account_t_d,fiaccount_t_d,mobileaccount_t_d,borrow_any_t_d,fin4_d,dig_acc,fin11_2a,fin11a,fin11b,fin11c,fin11f,fin11d,fin11e,fin14a,fin14b,fin14c,fin14d
Afghanistan,AFG,2011,14575546.0,South Asia (excluding high income),Low income,all,all,0.090050121,0.090050121,,,,,,,,,,,,,,,
Albania,ALB,2011,2281010.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.282681244,0.282681244,,,,,,,,,,,,,,,
Algeria,DZA,2011,26251587.0,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.332861125,0.332861125,,,,,,,,,,,,,,,
Angola,AGO,2011,12779501.0,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.392035423,0.392035423,,,,,,,,,,,,,,,
Argentina,ARG,2011,30685516.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.33130217,0.33130217,,,,,,,,,,,,,,,
Armenia,ARM,2011,2457011.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.174868727,0.174868727,,,,,,,,,,,,,,,
Australia,AUS,2011,17830548.0,High income,High income,all,all,0.990648467,0.990648467,,,,,,,,,,,,,,,
Austria,AUT,2011,7123870.0,High income,High income,all,all,0.970817388,0.970817388,,,,,,,,,,,,,,,
Azerbaijan,AZE,2011,7034188.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.149008504,0.149008504,,,,,,,,,,,,,,,
Bahrain,BHR,2011,978145.0,High income,High income,all,all,0.645145712,0.645145712,,,,,,,,,,,,,,,
Bangladesh,BGD,2011,100376575.0,South Asia (excluding high income),Lower middle income,all,all,0.317436491,0.317436491,,,,,,,,,,,,,,,
Belarus,BLR,2011,8075665.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.586019795,0.586019795,,,,,,,,,,,,,,,
Belgium,BEL,2011,9049843.0,High income,High income,all,all,0.963061274,0.963061274,,,,,,,,,,,,,,,
Benin,BEN,2011,5496491.0,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.10463937,0.10463937,,,,,,,,,,,,,,,
Bolivia,BOL,2011,6675907.0,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.280291328,0.280291328,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,2011,3217823.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.562116083,0.562116083,,,,,,,,,,,,,,,
Botswana,BWA,2011,1340324.0,Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.302600143,0.302600143,,,,,,,,,,,,,,,
Brazil,BRA,2011,145842533.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.558603848,0.558603848,,,,,,,,,,,,,,,
Bulgaria,BGR,2011,6400381.0,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.528249019,0.528249019,,,,,,,,,,,,,,,
Burkina Faso,BFA,2011,8802362.0,Sub-Saharan Africa (excluding high income),Low income,all,all,0.13353092,0.13353092,,,,,,,,,,,,,,,
Burundi,BDI,2011,5147947.0,Sub-Saharan Africa (excluding high income),Low income,all,all,0.072379846,0.072379846,,,,,,,,,,,,,,,
Cambodia,KHM,2011,9675871.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.036597117,0.036597117,,,,,,,,,,,,,,,
Cameroon,CMR,2011,11072780.0,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.148096124,0.148096124,,,,,,,,,,,,,,,
Canada,CAN,2011,28373521.0,High income,High income,all,all,0.958046425,0.958046425,,,,,,,,,,,,,,,
Central African Republic,CAF,2011,2428582.0,Sub-Saharan Africa (excluding high income),Low income,all,all,0.033008091,0.033008091,,,,,,,,,,,,,,,
Chad,TCD,2011,6309105.0,Sub-Saharan Africa (excluding high income),Low income,all,all,0.089597456,0.089597456,,,,,,,,,,,,,,,
Chile,CHL,2011,13480066.0,High income,High income,all,all,0.421792855,0.421792855,,,,,,,,,,,,,,,
China,CHN,2011,1090576711.0,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.638173129,0.638173129,,,,,,,,,,,,,,,
Colombia,COL,2011,32481705.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.30427801,0.30427801,,,,,,,,,,,,,,,
Comoros,COM,2011,382348.0,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.21694674,0.21694674,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,2011,36981603.0,Sub-Saharan Africa (excluding high income),Low income,all,all,0.036967262,0.036967262,,,,,,,,,,,,,,,
"Congo, Rep.",COG,2011,2658255.0,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.100480566,0.100480566,,,,,,,,,,,,,,,
Costa Rica,CRI,2011,3423771.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.503587278,0.503587278,,,,,,,,,,,,,,,
Croatia,HRV,2011,3638504.0,High income,High income,all,all,0.883910203,0.883910203,,,,,,,,,,,,,,,
Cyprus,CYP,2011,936237.0,High income,High income,all,all,0.852376451,0.852376451,,,,,,,,,,,,,,,
Czechia,CZE,2011,8965818.0,High income,High income,all,all,0.806511951,0.806511951,,,,,,,,,,,,,,,
Denmark,DNK,2011,4549535.0,High income,High income,all,all,0.997367892,0.997367892,,,,,,,,,,,,,,,
Djibouti,DJI,2011,591971.0,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.122738821,0.122738821,,,,,,,,,,,,,,,
Dominican Republic,DOM,2011,6788648.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.382046712,0.382046712,,,,,,,,,,,,,,,
Ecuador,ECU,2011,10352753.0,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.367355009,0.367355009,,,,,,,,,,,,,,,
