country_iso3,country_name,region,income_group,lending_type,deep_pillar_affordability,deep_pillar_skills,deep_pillar_affordability_n,deep_pillar_skills_n,deep_n_pillars_available,dii_deep_z,dii_deep_0_100,dii_core_0_100,ref_year_median,ref_year_p10,ref_year_p90,staleness_median
ABW,Aruba,Latin America & Caribbean ,High income,Not classified,-1.0484571273218417,,4,0,1,,,81.80377641041825,2025.0,2025.0,2025.0,0.0
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,0.062064084595405605,,4,0,1,,,19.923171459340644,2025.0,2025.0,2025.0,0.0
AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,0.4194017981522691,,4,0,1,,,29.01334947301902,2025.0,2025.0,2025.0,0.0
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,0.27794851123655906,-0.6247478522985785,4,5,2,-0.17339967053100974,41.799523223405444,66.46602618209938,2023.0,2023.0,2025.0,2.0
AND,Andorra,Europe & Central Asia,High income,Not classified,0.4025366798276837,,4,0,1,,,84.4445705296909,2025.0,2025.0,2025.0,0.0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,-0.09998001952467378,1.6018092185941708,4,5,2,0.7509145995347485,90.11447426385011,89.18077514294093,2024.0,2024.0,2025.0,1.0
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,-0.004158764926936856,,4,0,1,,,87.0698966083766,2025.0,2025.0,2025.0,0.0
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,0.5480353342608704,,4,0,1,,,65.88975111959252,2025.0,2025.0,2025.0,0.0
ASM,American Samoa,East Asia & Pacific,High income,Not classified,-1.6075898888645574,,4,0,1,,,,2025.0,2025.0,2025.0,0.0
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,-1.2932822833135775,,4,0,1,,,78.09398658628275,2025.0,2025.0,2025.0,0.0
AUS,Australia,East Asia & Pacific,High income,Not classified,-0.3765733065046197,,4,0,1,,,97.3760811888806,2025.0,2025.0,2025.0,0.0
AUT,Austria,Europe & Central Asia,High income,Not classified,0.3161202208395705,0.4445293187950369,4,14,2,0.3803247698173037,70.74332523072823,86.92899450480093,2023.0,2023.0,2025.0,2.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.6159832829406064,0.3319933642933604,4,12,2,0.4739883236169834,75.63922499411026,61.97100249500899,2023.0,2023.0,2025.0,2.0
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,-1.3619570347622991,,4,0,1,,,15.161594158054994,2025.0,2025.0,2025.0,0.0
BEL,Belgium,Europe & Central Asia,High income,Not classified,-0.11107009909584313,0.4933778465901373,4,15,2,0.19115387374714707,60.85514879777494,95.42616910567902,2023.0,2023.0,2025.0,2.0
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,0.09221710976737929,,4,0,1,,,21.882792399667142,2025.0,2025.0,2025.0,0.0
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,0.1494408571385657,,4,0,1,,,20.266460182209656,2025.0,2025.0,2025.0,0.0
BGD,Bangladesh,South Asia,Lower middle income,IDA,0.8230702978744306,-1.419012452117642,4,5,2,-0.29797107712160564,35.28803507983737,40.31590552765291,2023.0,2023.0,2025.0,2.0
