country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
ABW,-80.37,-27.93,-1.3,-33.52,,,,,,,,,,,,,,,
AFG,-6.97,-6.97,-23.09,-4.39,,,,,,,,,,,,,,,
AGO,-30.69,-5.48,-2.56,-2.74,,,,,,,,,,,,,,,
ALB,-17.02,-13.83,-1.95,-10.63,55.72306666666666,18.6233325,26.83558,,,,,,,,,,,21.512834,12.718
AND,-16.83,-11.57,-0.45,-8.42,,,,,,,,,,,,,,,
ARE,-19.73,-29.16,-0.85,-15.72,81.3786,72.32119999999999,64.128125,,,,,,,,,,,78.59621999999999,61.82415
ARG,-65.78,-5.54,-0.85,-8.29,,,,,,,,,,,,,,,
ARM,-17.7,-5.56,-0.82,-5.56,,,,,,,,,,,,,,,
ASM,-55.0,-30.0,-33.21,-30.0,,,,,,,,,,,,,,,
ATG,-59.26,-42.59,-2.26,-42.59,,,,,,,,,,,,,,,
AUS,-55.83,-15.68,-0.49,-24.47,,,,,,,,,,,,,,,
AUT,-31.46,-8.41,-0.18,-8.41,48.398,38.760835,71.4874,4.52339,89.7793,22.9956,53.2072,12.5564,74.9405,23.6975,64.4678,25.7326,51.9359,55.70426666666666,
AZE,-7.65,-5.12,-1.48,-7.06,33.341,24.308621,28.14625,36.579,52.421,36.49,52.51,37.469,42.631,36.045,36.401,,,7.669083333333333,
BDI,-64.88,-5.34,-53.99,-5.87,,,,,,,,,,,,,,,
