country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
ABW,2025,2025,2025,2025,,,,,,,,,,,,,,,
AFG,2025,2025,2025,2025,,,,,,,,,,,,,,,
AGO,2025,2025,2025,2025,,,,,,,,,,,,,,,
ALB,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
AND,2025,2025,2025,2025,,,,,,,,,,,,,,,
ARE,2025,2025,2025,2025,2024,2024,2024,,,,,,,,,,,2024,2024
ARG,2025,2025,2025,2025,,,,,,,,,,,,,,,
ARM,2025,2025,2025,2025,,,,,,,,,,,,,,,
ASM,2025,2025,2025,2025,,,,,,,,,,,,,,,
ATG,2025,2025,2025,2025,,,,,,,,,,,,,,,
AUS,2025,2025,2025,2025,,,,,,,,,,,,,,,
AUT,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,
AZE,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2023,
BDI,2025,2025,2025,2025,,,,,,,,,,,,,,,
BEL,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2023
BEN,2025,2025,2025,2025,,,,,,,,,,,,,,,
BFA,2025,2025,2025,2025,,,,,,,,,,,,,,,
BGD,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
BGR,2025,2025,2025,2025,2024,2023,2024,2024,2024,2023,2023,2024,2024,2024,2024,2023,2023,2024,
BHR,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
BHS,2025,2025,2025,2025,,,,,,,,,,,,,,,
BIH,2025,2025,2025,2025,2024,2024,2024,2024,2024,,,2024,2024,,,2024,2024,2024,2024
BLR,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
BLZ,2025,2025,2025,2025,,,,,,,,,,,,,,,
BMU,2025,2025,2025,2025,,,,,,,,,,,,,,,
BOL,2025,2025,2025,2025,,,,,,,,,,,,,,,
BRA,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023
BRB,2025,2025,2025,2025,,,,,,,,,,,,,,,
