country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
ABW,-2.1522668276825545,-1.0523585830910356,0.44927692337926806,-1.4384800218930445,,,,,,,,,,,,,,,
AFG,0.9111339478098711,0.5092192703523467,-1.8721393748266857,0.7000424950460903,,,,,,,,,,,,,,,
AGO,-0.078836983997763,0.6202283830255642,0.3150417450525355,0.8211740485287395,,,,,,,,,,,,,,,
ALB,0.4916901086586602,-0.001869664505554161,0.3800286170996044,0.2419449836935259,0.2043468860756402,-0.5968921064368534,-1.0586327733524172,,,,,,,,,,,-0.7844137605228001,-0.8881475072564621
AND,0.49961989268241447,0.1665065735088563,0.5398324008219051,0.40418785229755916,,,,,,,,,,,,,,,
ARE,0.37858634705669186,-1.1439969781165775,0.4972180584959583,-0.13172750553476778,1.722000961436192,2.7182253163801104,0.6194308647064964,,,,,,,,,,,1.8906495921226278,1.0587393583254276
ARG,-1.5433428860690055,0.6157582174145622,0.4972180584959583,0.4137315504507376,,,,,,,,,,,,,,,
ARM,0.4633098289946977,0.6142681622108948,0.5004141341704043,0.6141492116674846,,,,,,,,,,,,,,,
ASM,-1.0934319819844232,-1.2065792966706064,-2.9502822356731406,-1.1800660411300592,,,,,,,,,,,,,,,
ATG,-1.2712260869380707,-2.144569047379203,0.34700250179699565,-2.1043365007340316,,,,,,,,,,,,,,,
AUS,-1.1280726174566127,-0.13969977084478397,0.5355709665893104,-0.7740918043063924,,,,,,,,,,,,,,,
AUT,-0.11097347714666173,0.40193529568829756,0.5685970818919193,0.4049219829247267,-0.22896771840036811,0.64632645135355,0.9505783307744735,-1.0226866687267109,1.088382112124509,0.6375275748705261,0.57771485382478,-0.17412240548815253,0.5675305292498519,0.8163732547958477,0.5264981092348958,0.44133397543559366,0.5790438985256481,0.8178781655560724,
AZE,0.8827536681459084,0.6470493766915766,0.430100469332592,0.5040296175923489,-1.1196651408941702,-0.24590239608958644,-0.9996561690875522,2.1295045933067938,-0.8053754472624586,2.158353454060471,0.5437380935419758,3.064935370623979,-1.0757374371026995,2.458184575111195,-0.6912942534377754,,,-1.4331648712498464,
BDI,-1.505780751219643,0.6306587694512357,-5.164097319506079,0.5913911622252898,,,,,,,,,,,,,,,
