country_iso3,country_name,year,value,indicator_code,pillar,direction
ABW,Aruba,2023,27.93,ITU_MB_DATAONLY_5GB,affordability,negative
ABW,Aruba,2024,27.93,ITU_MB_DATAONLY_5GB,affordability,negative
ABW,Aruba,2025,27.93,ITU_MB_DATAONLY_5GB,affordability,negative
AFG,Afghanistan,2023,6.4,ITU_MB_DATAONLY_5GB,affordability,negative
AFG,Afghanistan,2024,7.08,ITU_MB_DATAONLY_5GB,affordability,negative
AFG,Afghanistan,2025,6.97,ITU_MB_DATAONLY_5GB,affordability,negative
ZAF,South Africa,2023,17.9,ITU_MB_DATAONLY_5GB,affordability,negative
ZAF,South Africa,2024,16.69,ITU_MB_DATAONLY_5GB,affordability,negative
ZAF,South Africa,2025,6.43,ITU_MB_DATAONLY_5GB,affordability,negative
AGO,Angola,2023,8.57,ITU_MB_DATAONLY_5GB,affordability,negative
AGO,Angola,2024,5.93,ITU_MB_DATAONLY_5GB,affordability,negative
AGO,Angola,2025,5.48,ITU_MB_DATAONLY_5GB,affordability,negative
ALB,Albania,2023,12.84,ITU_MB_DATAONLY_5GB,affordability,negative
ALB,Albania,2024,13.89,ITU_MB_DATAONLY_5GB,affordability,negative
ALB,Albania,2025,13.83,ITU_MB_DATAONLY_5GB,affordability,negative
DZA,Algeria,2023,4.42,ITU_MB_DATAONLY_5GB,affordability,negative
DZA,Algeria,2024,6.25,ITU_MB_DATAONLY_5GB,affordability,negative
DZA,Algeria,2025,2.23,ITU_MB_DATAONLY_5GB,affordability,negative
AND,Andorra,2023,17.42,ITU_MB_DATAONLY_5GB,affordability,negative
AND,Andorra,2024,17.23,ITU_MB_DATAONLY_5GB,affordability,negative
AND,Andorra,2025,11.57,ITU_MB_DATAONLY_5GB,affordability,negative
ARG,Argentina,2023,9.91,ITU_MB_DATAONLY_5GB,affordability,negative
ARG,Argentina,2024,4.84,ITU_MB_DATAONLY_5GB,affordability,negative
ARG,Argentina,2025,5.54,ITU_MB_DATAONLY_5GB,affordability,negative
ARM,Armenia,2023,5.17,ITU_MB_DATAONLY_5GB,affordability,negative
ARM,Armenia,2024,5.14,ITU_MB_DATAONLY_5GB,affordability,negative
ARM,Armenia,2025,5.56,ITU_MB_DATAONLY_5GB,affordability,negative
SAU,Saudi Arabia,2023,23.0,ITU_MB_DATAONLY_5GB,affordability,negative
SAU,Saudi Arabia,2024,19.93,ITU_MB_DATAONLY_5GB,affordability,negative
SAU,Saudi Arabia,2025,19.93,ITU_MB_DATAONLY_5GB,affordability,negative
ATG,Antigua and Barbuda,2023,38.89,ITU_MB_DATAONLY_5GB,affordability,negative
ATG,Antigua and Barbuda,2024,39.63,ITU_MB_DATAONLY_5GB,affordability,negative
ATG,Antigua and Barbuda,2025,42.59,ITU_MB_DATAONLY_5GB,affordability,negative
AUS,Australia,2023,16.71,ITU_MB_DATAONLY_5GB,affordability,negative
AUS,Australia,2024,16.48,ITU_MB_DATAONLY_5GB,affordability,negative
AUS,Australia,2025,15.68,ITU_MB_DATAONLY_5GB,affordability,negative
AUT,Austria,2023,9.24,ITU_MB_DATAONLY_5GB,affordability,negative
AUT,Austria,2024,9.14,ITU_MB_DATAONLY_5GB,affordability,negative
AUT,Austria,2025,8.41,ITU_MB_DATAONLY_5GB,affordability,negative
AZE,Azerbaijan,2023,5.12,ITU_MB_DATAONLY_5GB,affordability,negative
