country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,n_indicators_present,is_included,inclusion_rule
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,13.431999999999999,61.40401999999999,0.03350328,3.3658324637977626,,54.86985683441162,5,True,>= 5/6 indicators non-missing after min-year rule
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,62.570080000000004,108.73612,11.134364000000001,6.060823954218983,,99.40467911087542,5,True,>= 5/6 indicators non-missing after min-year rule
AND,Andorra,Europe & Central Asia,High income,Not classified,89.97155000000001,107.61858,45.80188,8.838562396494584,,94.7224868774414,5,True,>= 5/6 indicators non-missing after min-year rule
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,74.1908,136.7346,17.704680000000003,7.294209832357663,,109.52247772216799,5,True,>= 5/6 indicators non-missing after min-year rule
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,64.59613999999999,120.71200000000002,11.218078,5.594677970215702,,85.43104768606814,5,True,>= 5/6 indicators non-missing after min-year rule
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,71.97586,200.424,10.0456375,6.770642539810386,,118.817626953125,5,True,>= 5/6 indicators non-missing after min-year rule
AUS,Australia,East Asia & Pacific,High income,Not classified,88.25108,108.8646,31.788940000000004,9.95830732831049,,149.6886779785158,5,True,>= 5/6 indicators non-missing after min-year rule
AUT,Austria,Europe & Central Asia,High income,Not classified,86.28614,130.21120000000002,28.541059999999998,9.358276397164936,,100.842739868164,5,True,>= 5/6 indicators non-missing after min-year rule
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,79.02000000000001,104.76700000000001,18.78284,5.391634252987317,99.79250144958493,95.40216206464362,6,True,>= 5/6 indicators non-missing after min-year rule
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,4.2349695999999994,50.186840000000004,0.030579679999999998,1.6406174332636116,,45.55934238536052,5,True,>= 5/6 indicators non-missing after min-year rule
BEL,Belgium,Europe & Central Asia,High income,Not classified,87.63435999999999,104.84007999999999,38.41482,9.14889161033903,,150.47875906372087,5,True,>= 5/6 indicators non-missing after min-year rule
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,7.850362,87.71741999999999,0.060184919999999996,1.150208702909279,,36.93888125981768,5,True,>= 5/6 indicators non-missing after min-year rule
BGD,Bangladesh,South Asia,Lower middle income,IDA,21.7,91.877,4.2996360000000005,4.120179800011966,71.8760009765625,63.263818049031684,6,True,>= 5/6 indicators non-missing after min-year rule
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,62.52418,122.12339999999999,25.538339999999998,10.093460214577618,,103.41102905273439,5,True,>= 5/6 indicators non-missing after min-year rule
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,97.14052000000001,164.3668,13.151230000000002,5.916359804330329,,100.9282292795624,5,True,>= 5/6 indicators non-missing after min-year rule
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,82.45866,94.18072,21.347559999999998,7.294289941947556,,82.63571048733252,5,True,>= 5/6 indicators non-missing after min-year rule
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,63.562979999999996,102.13144,20.19866,7.131486524833439,,84.7470672607422,5,True,>= 5/6 indicators non-missing after min-year rule
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,73.93978,121.423,32.81064,7.784075302959469,,102.076068510283,5,True,>= 5/6 indicators non-missing after min-year rule
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,49.48032,63.12293999999999,5.832956,9.474366904066677,,85.81698031733588,5,True,>= 5/6 indicators non-missing after min-year rule
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,42.5555,95.78106,3.6688339999999995,4.554843654559824,,89.63492287626063,5,True,>= 5/6 indicators non-missing after min-year rule
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,66.2037,111.00134,14.198179999999999,7.2507738889752735,93.014386119909,103.0932662963866,6,True,>= 5/6 indicators non-missing after min-year rule
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,72.61582000000001,118.1756,32.16486,6.655012249275711,,108.1228164672852,5,True,>= 5/6 indicators non-missing after min-year rule
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,89.21333999999999,123.43220000000001,9.92592,8.019663431418419,,89.8138198852539,5,True,>= 5/6 indicators non-missing after min-year rule
BTN,Bhutan,South Asia,Lower middle income,IDA,55.65588,93.88586000000001,2.150436,5.112313755078384,,87.13176175733992,5,True,>= 5/6 indicators non-missing after min-year rule
CAN,Canada,North America,High income,Not classified,92.08286000000001,86.69402,37.98622,9.971070972062057,,111.6265762329102,5,True,>= 5/6 indicators non-missing after min-year rule
CHE,Switzerland,Europe & Central Asia,High income,Not classified,90.2492,130.9462,45.721379999999996,10.69661487126614,,104.033544921875,5,True,>= 5/6 indicators non-missing after min-year rule
CHL,Chile,Latin America & Caribbean ,High income,IBRD,82.48666,128.7826,16.50826,8.614712332289972,,102.456690979004,5,True,>= 5/6 indicators non-missing after min-year rule
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,39.464639999999996,116.13820000000001,0.5805606,2.6993478531402864,,48.83599448756114,5,True,>= 5/6 indicators non-missing after min-year rule
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,61.086940000000006,127.8878,12.98624,6.139680822087462,94.82654234845913,99.5343521118163,6,True,>= 5/6 indicators non-missing after min-year rule
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,54.32226000000001,118.1792,3.23552,5.759786834006393,,96.90085735923189,5,True,>= 5/6 indicators non-missing after min-year rule
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,70.38148,165.01399999999998,14.96078,6.807287582791944,,122.85064544677739,5,True,>= 5/6 indicators non-missing after min-year rule
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,53.61638000000001,41.559659999999994,0.6020085,2.6169490145255914,,98.56670294377773,5,True,>= 5/6 indicators non-missing after min-year rule
CYP,Cyprus,Europe & Central Asia,High income,Not classified,79.77126,135.36599999999999,34.02096,8.896339990289874,,100.06682434082025,5,True,>= 5/6 indicators non-missing after min-year rule
CZE,Czechia,Europe & Central Asia,High income,Not classified,78.48486,120.26320000000001,30.594780000000004,10.225546569416863,,102.3521514892576,5,True,>= 5/6 indicators non-missing after min-year rule
DEU,Germany,Europe & Central Asia,High income,Not classified,86.26415999999999,126.33319999999999,39.796260000000004,10.515889961853981,,101.2260452270508,5,True,>= 5/6 indicators non-missing after min-year rule
