country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,n_indicators_present,is_included,inclusion_rule
AFE,,,,,-1.4982052708308982,-1.4185476610935963,-1.0749174687116525,0.017961737922495058,-0.9255988790517029,-1.6479421860453711,6,True,>= 5/6 indicators non-missing after min-year rule
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-1.665640287160829,-1.543411688349293,-1.111027626658327,-1.1840105861597428,,-1.200395315069851,5,True,>= 5/6 indicators non-missing after min-year rule
AFW,,,,,-1.2814707920811246,-0.7840727539258963,-1.0986694285253504,-0.9465691139243679,-1.8662488175006977,-1.6541924325131212,6,True,>= 5/6 indicators non-missing after min-year rule
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,0.209344951494924,-0.041860200671677894,-0.2870676337867715,-0.16077369633376415,,0.5042027696939408,5,True,>= 5/6 indicators non-missing after min-year rule
AND,Andorra,Europe & Central Asia,High income,Not classified,1.254915958084283,-0.07731275505948763,2.286124387690508,0.8938806335691117,,0.3249889431727211,5,True,>= 5/6 indicators non-missing after min-year rule
ARB,,,,,,-0.3522946169227297,-0.6377309029925339,-0.717031281849593,-0.5490938443570161,-0.7438753609128538,5,True,>= 5/6 indicators non-missing after min-year rule
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,0.6527623268289147,0.8463564492701574,0.20061324619853002,0.3075194075174291,,0.8914678187777859,5,True,>= 5/6 indicators non-missing after min-year rule
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,0.28665429269488235,0.33805956689089844,-0.2808539726497594,-0.33776043954675916,,-0.03064668397750562,5,True,>= 5/6 indicators non-missing after min-year rule
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,0.5682458010609529,2.8668227568984834,-0.3678782215246091,0.1087308881678002,,1.2472454500058463,5,True,>= 5/6 indicators non-missing after min-year rule
AUS,Australia,East Asia & Pacific,High income,Not classified,1.1892671607859338,-0.03778433386803271,1.2460156759662584,1.31902643662715,,2.4288541724086086,5,True,>= 5/6 indicators non-missing after min-year rule
AUT,Austria,Europe & Central Asia,High income,Not classified,1.1142900046812543,0.6394097687992693,1.004942190842154,1.0912061314547579,,0.5592454416379485,5,True,>= 5/6 indicators non-missing after min-year rule
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.8370324227406066,-0.16777555284855064,0.28063953680083153,-0.41485226801965935,1.047517881124842,0.35100393465902757,6,True,>= 5/6 indicators non-missing after min-year rule
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,-2.014126342925324,-1.8992626503084615,-1.111244630501175,-1.8390418426216633,,-1.5567610595988375,5,True,>= 5/6 indicators non-missing after min-year rule
BEL,Belgium,Europe & Central Asia,High income,Not classified,1.1657346805509754,-0.16545718153776062,1.7378207868737103,1.0117067197459928,,2.4370550798139585,5,True,>= 5/6 indicators non-missing after min-year rule
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,-1.8786215199953233,-0.7086520872359651,-1.109047185280066,-2.0252406880632288,,-1.8867145830048782,5,True,>= 5/6 indicators non-missing after min-year rule
BGD,Bangladesh,South Asia,Lower middle income,IDA,-1.3501542536567572,-0.5766946305181337,-0.794374461266634,-0.8975992839720348,-0.8863364319792518,-0.8791112169499689,6,True,>= 5/6 indicators non-missing after min-year rule
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.20759352322474525,0.38283446108972213,0.7820656759303197,1.370341410899431,,0.6575483111983358,5,True,>= 5/6 indicators non-missing after min-year rule
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,1.5284657778242066,1.722953325762124,-0.13736600821922879,-0.21562397988709583,,0.5625176021516397,5,True,>= 5/6 indicators non-missing after min-year rule
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,0.968243018285975,-0.5036120038611152,0.47100555671766675,0.3075498236014497,,-0.1376399578173328,5,True,>= 5/6 indicators non-missing after min-year rule
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.24723151204961563,-0.2513853871652962,0.3857285984990496,0.24573646991443893,,-0.056826461136798255,5,True,>= 5/6 indicators non-missing after min-year rule
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.6431840365374063,0.3606151498407097,1.3218512301589305,0.49351198758802034,,0.606451864247867,5,True,>= 5/6 indicators non-missing after min-year rule
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,-0.2901272862796601,-1.4888811079778577,-0.6805639768243237,1.1352834836997157,,-0.015874871932922596,5,True,>= 5/6 indicators non-missing after min-year rule
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,-0.5543609576064218,-0.45284322521427717,-0.8411956604991347,-0.7325657051172808,,0.13025925954020898,5,True,>= 5/6 indicators non-missing after min-year rule
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,0.3479947290785069,0.03000106178904296,-0.05965627594750702,0.29102760790647486,0.5779788148769865,0.6453857436120727,6,True,>= 5/6 indicators non-missing after min-year rule
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,0.59266506109981,0.25759545916389026,1.2739182907573996,0.06482827130355091,,0.8378949117258544,5,True,>= 5/6 indicators non-missing after min-year rule
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,1.2259845761946933,0.42435449901477706,-0.3767642379277228,0.5829603085571459,,0.1371066540803028,5,True,>= 5/6 indicators non-missing after min-year rule
BTN,Bhutan,South Asia,Lower middle income,IDA,-0.054483487408541635,-0.5129660674174881,-0.9538985613653826,-0.5209049359263431,,0.03444920729211801,5,True,>= 5/6 indicators non-missing after min-year rule
CAN,Canada,North America,High income,Not classified,1.3354782243394212,-0.7411181682357361,1.706008005698239,1.3238725488251366,,0.9720035009300646,5,True,>= 5/6 indicators non-missing after min-year rule
CEB,,,,,,0.4031798540285663,0.6908098624582113,1.1494954338575492,1.0188653956966618,0.5765472662422637,5,True,>= 5/6 indicators non-missing after min-year rule
CHE,Switzerland,Europe & Central Asia,High income,Not classified,1.2655103820323241,0.6627267216376818,2.2801492852998746,1.5993477351077339,,0.6813754941538397,5,True,>= 5/6 indicators non-missing after min-year rule
CHL,Chile,Latin America & Caribbean ,High income,IBRD,0.969311427688263,0.5940892261802799,0.11180912194757833,0.8088890318151958,,0.6210204265107229,5,True,>= 5/6 indicators non-missing after min-year rule
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,-0.6723003820762328,0.19296150037071694,-1.0704223657819856,-1.4370620865262407,,-1.4313451577866452,5,True,>= 5/6 indicators non-missing after min-year rule
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,0.1527520686053221,0.565702818833597,-0.1496123702494227,-0.13083324698319887,0.7035119611961924,0.509166084640551,6,True,>= 5/6 indicators non-missing after min-year rule
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,-0.1053710640899276,0.2577096646471802,-0.873358337732612,-0.27507175170920256,,0.4083674313165588,5,True,>= 5/6 indicators non-missing after min-year rule
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,0.5074082802459767,1.7434849337580696,-0.003052386716488105,0.12264431236274191,,1.401611746954785,5,True,>= 5/6 indicators non-missing after min-year rule
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,-0.13230566512159841,-2.1729491117894137,-1.0688303980979599,-1.4683473546426886,,0.4721287095204183,5,True,>= 5/6 indicators non-missing after min-year rule
CYP,Cyprus,Europe & Central Asia,High income,Not classified,0.8656986101535559,0.8029393313726713,1.4116870801642896,0.9158176844232059,,0.52954679113839,5,True,>= 5/6 indicators non-missing after min-year rule
CZE,Czechia,Europe & Central Asia,High income,Not classified,0.8166128296141706,0.32382194997405506,1.1573792999314911,1.4204920816509128,,0.6170191123728179,5,True,>= 5/6 indicators non-missing after min-year rule
DEU,Germany,Europe & Central Asia,High income,Not classified,1.1134513033004578,0.5163850842994514,1.8403579973894446,1.5307299324622508,,0.5739166931943614,5,True,>= 5/6 indicators non-missing after min-year rule
DNK,Denmark,Europe & Central Asia,High income,Not classified,1.528929009615055,0.4390679721119958,2.0966386747842685,1.819761997552149,,1.7114044312456875,5,True,>= 5/6 indicators non-missing after min-year rule
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,0.41802820224888715,-0.8641599835580462,-0.5493997167431304,-0.7362712402342194,0.5924111941566594,-0.22286709243534125,6,True,>= 5/6 indicators non-missing after min-year rule
EAP,,,,,-0.11690454358762256,0.13104395705252284,0.33489349604882235,-0.1401832004012593,0.7746551840759913,-0.019705425767038327,6,True,>= 5/6 indicators non-missing after min-year rule
EAR,,,,,,-0.5095003818943209,-0.838442140467728,-0.16913330936469217,-0.37485544518743086,-0.49613957744023934,5,True,>= 5/6 indicators non-missing after min-year rule
EAS,,,,,0.03190962315958108,0.17715673043316962,0.41700250708624775,0.2784351302367487,0.7583093345485219,0.04246460353405136,6,True,>= 5/6 indicators non-missing after min-year rule
ECA,,,,,0.1479083582650937,-0.02156367658453747,-0.08976386382779113,0.4491466224116258,0.9632455775882234,0.5273721778557018,6,True,>= 5/6 indicators non-missing after min-year rule
ECS,,,,,0.68440250812809,0.42904326857874603,0.8697742410348644,1.127137005571185,0.9522962335268034,0.7080484103692397,6,True,>= 5/6 indicators non-missing after min-year rule
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,-0.0756692827063325,-0.731148029544503,-0.3262050740195412,-0.4513642364300502,0.6379423029105522,0.4033427213743488,6,True,>= 5/6 indicators non-missing after min-year rule
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.4364741904571525,-0.5265983952728939,-0.7187032409459226,-1.2314503372432595,,-0.36218056424589823,5,True,>= 5/6 indicators non-missing after min-year rule
ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA,-2.014126342925324,-2.74289804779314,-1.1105522445431333,-2.311533903578988,,-1.5494004929326286,5,True,>= 5/6 indicators non-missing after min-year rule
ESP,Spain,Europe & Central Asia,High income,Not classified,1.032238452034284,0.08308313594741466,1.1971757085993415,0.9495233763633387,0.9425117950145296,1.3432962626241787,6,True,>= 5/6 indicators non-missing after min-year rule
EST,Estonia,Europe & Central Asia,High income,Not classified,1.2051628032432542,1.1160844218052899,1.275524517039801,1.5112301953303526,,0.9716115519119537,5,True,>= 5/6 indicators non-missing after min-year rule
FCS,,,,,-1.3203914203073164,-1.2662736833733483,-1.0006925942938465,-0.40196798798990396,-1.2160885592390047,-1.5802909445033089,6,True,>= 5/6 indicators non-missing after min-year rule
FIN,Finland,Europe & Central Asia,High income,Not classified,1.1803886786529236,0.667333009463719,1.2290404471869059,1.3815585649502349,,2.4370550798139585,5,True,>= 5/6 indicators non-missing after min-year rule
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.140396576895208,0.0273762390980906,-0.987691068391326,-0.5789841765960013,,0.15356754589852134,5,True,>= 5/6 indicators non-missing after min-year rule
FRA,France,Europe & Central Asia,High income,Not classified,0.898551436124327,-0.13287308820525587,2.1112580060495993,1.178876787887503,,0.6671578078000147,5,True,>= 5/6 indicators non-missing after min-year rule
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,1.3354400668607675,0.30684340145824684,1.7884035542919567,1.289562595463637,,1.3744893684154165,5,True,>= 5/6 indicators non-missing after min-year rule
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,0.0906660350888154,1.095635295547275,0.40750766115072207,0.3320195857914825,1.036770890398053,0.8912577108530401,6,True,>= 5/6 indicators non-missing after min-year rule
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,-1.0032462996314064,0.564598832495125,-1.0967941667631345,-0.9581955027017043,,-0.6950829539801905,5,True,>= 5/6 indicators non-missing after min-year rule
GRC,Greece,Europe & Central Asia,High income,Not classified,0.521283102633828,0.17003157722567605,1.4953711725779009,0.629989575377805,,0.6952341129226014,5,True,>= 5/6 indicators non-missing after min-year rule
GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend,0.0022444729554924074,-0.2643591300670616,0.44978911861408133,-0.29563082498701454,,0.7704167107517117,5,True,>= 5/6 indicators non-missing after min-year rule
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,-0.7501950589987305,0.2514410525643635,-0.8794317880818491,-0.8973251090559395,,-1.2337485348738793,5,True,>= 5/6 indicators non-missing after min-year rule
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,1.2109337403147535,3.077009320035337,1.5114824238190294,1.285213809239838,,0.7961521350183631,5,True,>= 5/6 indicators non-missing after min-year rule
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,-0.9278883318897686,-0.8903098668569632,-0.8979162312327384,-0.9098930588880667,0.24135555193494745,-1.2263960796743274,6,True,>= 5/6 indicators non-missing after min-year rule
HPC,,,,,,-1.3530496831814804,-1.0820236322918997,-1.4847910504826711,-1.5130951851701,-1.7445146628910448,5,True,>= 5/6 indicators non-missing after min-year rule
HRV,Croatia,Europe & Central Asia,High income,IBRD,0.5997913518130682,-0.08053525311299188,0.8557561312523178,1.1091252685025323,,0.687832753480272,5,True,>= 5/6 indicators non-missing after min-year rule
HUN,Hungary,Europe & Central Asia,High income,Not classified,0.7621727916701786,-0.24556852121638295,1.1234377493577166,1.1324531907736801,,0.6739317334319604,5,True,>= 5/6 indicators non-missing after min-year rule
IBD,,,,,-0.38095429586727636,-0.13246702426466858,-0.190156965651405,0.09302540145119642,0.30332232068560755,-0.06571583683351899,6,True,>= 5/6 indicators non-missing after min-year rule
IBT,,,,,-0.6564512917428691,-0.3906983114819225,-0.4098625939281108,-0.01451557425780767,-0.03004872296935373,-0.5557829927535107,6,True,>= 5/6 indicators non-missing after min-year rule
IDA,,,,,-1.4417322024242667,-1.1317650030537962,-1.0274135490842566,-0.9767487505255742,-1.2329881810886538,-1.5225875921439067,6,True,>= 5/6 indicators non-missing after min-year rule
IDB,,,,,-1.316575672442003,-1.1114618060244292,-1.030382544060969,-0.7509304168132171,-1.307421354181519,-1.5850015748123976,6,True,>= 5/6 indicators non-missing after min-year rule
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,-0.9003455006483668,0.832759652009553,-0.9222615446925323,0.12392143179518085,0.7446224871103859,0.1776536916076488,6,True,>= 5/6 indicators non-missing after min-year rule
IDX,,,,,-1.5088893648537742,-1.1431855513828142,-1.0244445541075444,-1.1988740425551179,-1.198916649261475,-1.4855194707676496,6,True,>= 5/6 indicators non-missing after min-year rule
