type,score,indicator,corr
score_vs_indicator,DII_pca_0100,IT.NET.USER.ZS,0.9505900145506878
score_vs_indicator,DII_pca_0100,IT.CEL.SETS.P2,0.7076979420151515
score_vs_indicator,DII_pca_0100,IT.NET.BBND.P2,0.8883480997567249
score_vs_indicator,DII_pca_0100,IT.NET.SECR.P6,0.9044782314097061
score_vs_indicator,DII_pca_0100,SE.ADT.LITR.ZS,0.773727370452759
score_vs_indicator,DII_pca_0100,SE.SEC.ENRR,0.9123701019759173
score_vs_indicator,DII_equal_0100,IT.NET.USER.ZS,0.9464697133315674
score_vs_indicator,DII_equal_0100,IT.CEL.SETS.P2,0.7278300709709503
score_vs_indicator,DII_equal_0100,IT.NET.BBND.P2,0.872327403565476
score_vs_indicator,DII_equal_0100,IT.NET.SECR.P6,0.8971609108492108
score_vs_indicator,DII_equal_0100,SE.ADT.LITR.ZS,0.8499452421977035
score_vs_indicator,DII_equal_0100,SE.SEC.ENRR,0.9117632789232217
score_vs_score,DII_pca_0100,DII_equal_0100,0.9958996850100167
