country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
AFE,,,,,23.3,71.08000000000001,0.58,7.167432428397452,72.6440216064453,44.56057052612304,8.699347734451297,-1.3323719207624034,19.61049447191018,-3.5003864529855764,15.945997262186298,15.945997262186298
AFW,,,,,31.58,94.62,0.3279999999999999,3.932479673497259,60.407204437255885,44.51197967529296,9.863347530364996,-1.4652724091124696,15.832916605732924,-3.778166166823914,12.541568616421603,12.541568616421603
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,73.6251,93.4068,17.135060000000003,6.866866268682325,,97.75089867677256,60.33838070445042,-0.0560800248633544,55.8879534683748,-0.029998823082545957,58.47857423080267,58.47857423080267
AND,Andorra,Europe & Central Asia,High income,Not classified,93.076825,118.1718,49.02584,9.399279195650257,,97.25101928710936,19.2924506608285,0.5315309173395645,72.5902704932934,1.36532753962854,75.57949558234836,75.57949558234836
ARB,,,,,,98.30473255063504,9.055604538810526,5.090256755651722,77.55128326416016,67.83502349853515,32.43199081420898,-0.7238029780173622,36.908523972758246,-1.6174407791091545,39.023111504928664,39.023111504928664
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.52,200.0538,34.50676,7.517238191340681,98.06666564941406,101.73739547124714,55.787669908371086,1.0244856710578385,86.60206977102033,2.3674215941665024,87.86101772044441,87.86101772044441
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,83.7375,127.909,21.508159999999997,8.242311893011234,,112.47840423584,99.9941338533076,0.7106423951937112,77.68135452706991,1.7266076899137006,80.00729369539842,80.00729369539842
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,73.38734,124.8462,14.81938,6.389940576434153,,88.31101374216946,55.43829268741814,-0.01933475744110261,56.93240492693856,-0.09608317119213317,57.668653863932754,57.668653863932754
AUS,Australia,East Asia & Pacific,High income,Not classified,94.4636,107.8608,35.13362,10.617950944179269,,137.2913360595704,108.4299850463868,1.2066578757054158,91.7801522344702,3.092298812426135,96.7450097600558,96.7450097600558
AUT,Austria,Europe & Central Asia,High income,Not classified,89.7808,121.5324,28.91536,10.349010937425888,,101.53849029541,89.8704559326172,0.8072172673837684,80.42640914758498,2.0019745995104428,83.38215135571134,83.38215135571134
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,83.9,104.8224,19.62038,5.973269557659088,,98.01638566265436,35.65830459036488,-0.08767232770747624,54.98997043274314,-0.15237894513289676,56.97870086919762,56.97870086919762
BEL,Belgium,Europe & Central Asia,High income,Not classified,91.44912,100.67642,41.3928,10.061083222006948,,140.0508137512205,80.83793640136722,1.0309422314836485,86.78559174342972,2.702460644131333,91.96720864198116,91.96720864198116
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,23.96774,88.72677999999999,0.1909576,2.6137332688229624,48.07000096638996,43.940106709798165,10.481674003601066,-1.748169488508795,7.791819399838301,-4.353543591771037,5.489824770374182,5.489824770374182
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,11.150282,105.28118,0.06619642,2.289099347850723,44.55305048942565,38.14564382367104,7.968436703771312,-1.8451449827977962,5.035377453419022,-4.65760773715632,1.763257871748664,1.763257871748664
BGD,Bangladesh,South Asia,Lower middle income,IDA,34.5286,105.04198,5.937048,5.210109884341822,75.77200164794924,66.1379351160208,22.47480073431162,-0.9114456029328634,31.574949691487785,-2.4739091765107983,28.5263566986966,28.5263566986966
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,71.45796,116.44,30.8454,10.804663959152096,,100.68732757568348,84.56988220214843,0.6575988528345974,76.17363913755514,1.6518222174915929,79.09073358709244,79.09073358709244
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.5323714,131.201,12.52307,7.637956495573586,,102.07446410133234,51.076826657690624,0.33529309788457157,67.01238547207784,0.7732587438305367,68.32318467027362,68.32318467027362
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,73.55998,110.9346,23.740879999999997,8.09587085813909,,85.89075622558593,46.18715209960938,0.04340581086878195,58.71574963169625,0.13682391284524623,60.523129944068124,60.523129944068124
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,84.68054,125.27939999999998,34.347159999999995,8.89109847683822,,100.41826159902834,80.32051659662336,0.6946999078758139,77.22820354191124,1.7088695032465713,79.78989700368521,79.78989700368521
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,63.851600000000005,66.47085999999999,8.445656,11.952811075096436,,87.23687939410885,24.66548343942304,-0.34192664598270706,47.76301816928277,-0.6227631998702218,51.21373837709713,51.21373837709713
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,77.38142,100.73846,17.84476,8.085766969649848,94.21196967758311,105.1538864135744,55.12196044921876,0.20750536295066996,63.380133062412455,0.5128474203003862,65.1316205446676,65.1316205446676
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,75.97918,113.1914,37.81616,6.868105639275967,,105.2827743530274,51.502883376124124,0.3242200791883288,66.69764479009844,0.8537287579607159,69.3094137128642,69.3094137128642
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,96.58094,125.75039999999998,15.36212,9.441989976125816,,88.72111728387922,28.702930160415917,0.2078048672516164,63.38864620508128,0.479882318010492,64.72760494181622,64.72760494181622
BTN,Bhutan,South Asia,Lower middle income,IDA,77.29148,96.03614,0.7959006000000001,6.456381879595096,,90.0939476946356,15.410759711091838,-0.5549082486727285,41.709206041026725,-1.2971958574050444,42.9479876956524,42.9479876956524
CAN,Canada,North America,High income,Not classified,93.358,88.6855,40.6955,10.565520712994742,,109.6517059326172,75.27334747314453,0.7542861455409637,78.92188921099431,2.048445905827566,83.95169707323696,83.95169707323696
CEB,,,,,,122.2630000669752,27.56066266295152,10.401417353884629,99.45035705566409,101.0507690429688,66.46969146728516,0.6907355916909554,77.11552138957029,1.438382635981151,76.47484844777277,76.47484844777277
CHE,Switzerland,Europe & Central Asia,High income,Not classified,94.26364,125.6322,46.72338,11.653674146721563,,103.8936599731446,68.95539703369143,1.0522177201448182,87.39032853602029,2.62004194936507,90.95709684680486,90.95709684680486
CHL,Chile,Latin America & Caribbean ,High income,IBRD,88.22948,132.9726,19.8613,9.32213264140207,,104.8024719238284,93.5872024536133,0.7355884877969974,78.39042496342196,1.7604626083766672,80.42221475864937,80.42221475864937
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,36.843219999999995,141.1824,0.9390658,3.829319105065219,,54.301991066230165,10.61954582271235,-1.0235204850141146,28.389321112084975,-2.7153679366084837,25.567072493638378,25.567072493638378
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,68.95068,140.178,15.27376,6.453792548728915,95.39208623832894,101.6847824096678,57.465202331542955,0.2457274792978617,64.4665626346747,0.407078467057396,63.83533130425696,63.83533130425696
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,67.53246,58.7977,2.0298842,4.3211407813718035,,101.03594473419004,46.43852573303745,-0.7197341900576885,37.02417564213471,-1.5326752593038393,40.06198565383896,40.06198565383896
CYP,Cyprus,Europe & Central Asia,High income,Not classified,88.33192,142.53199999999998,37.043099999999995,10.315772841231594,,101.8073150634764,91.52050781250004,1.0299604913649212,86.75768665603023,2.465450269903478,89.06244322115452,89.06244322115452
CZE,Czechia,Europe & Central Asia,High income,Not classified,82.02094,124.41100000000002,35.52856,11.09034580256304,,101.21704559326164,68.30126647949223,0.7636951911412612,79.18933294158403,1.8901347324771562,82.01145785975568,82.01145785975568
