country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
AFE,,,,,23.3,71.08000000000001,0.58,7.167432428397452,72.6440216064453,44.56057052612304,-1.1899951139249874,24.638855879637873,-2.8801221808174615,21.594145101491478,21.594145101491478
AFW,,,,,31.58,94.62,0.3279999999999999,3.932479673497259,60.407204437255885,44.51197967529296,-1.3503060634560649,20.20433760611892,-3.1514151400623067,18.096590310405002,18.096590310405002
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,73.6251,93.4068,17.135060000000003,6.866866268682325,,97.75089867677256,-0.05163042371571401,56.12827712895282,-0.041740465840255675,58.18704302919324,58.18704302919324
AND,Andorra,Europe & Central Asia,High income,Not classified,93.076825,118.1718,49.02584,9.399279195650257,,97.25101928710936,0.9186156177550734,82.96720368572896,2.1158397777005784,86.00293305064855,86.00293305064855
ARB,,,,,,98.30473255063504,9.055604538810526,5.090256755651722,77.55128326416016,67.83502349853515,-0.6553774441116413,39.42743914901595,-1.3051643005945548,41.898768911361664,41.898768911361664
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.52,200.0538,34.50676,7.517238191340681,98.06666564941406,101.73739547124714,1.1950464489355903,90.61382779855288,2.675233831306307,93.21473595825083,93.21473595825083
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,83.7375,127.909,21.508159999999997,8.242311893011234,,112.47840423584,0.5589795449166785,73.01895784548277,1.2277020566961472,74.5529110895545,74.5529110895545
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,73.38734,124.8462,14.81938,6.389940576434153,,88.31101374216946,0.021593586563252512,58.15379823398169,0.0048364406853723335,58.78752039884615,58.78752039884615
AUS,Australia,East Asia & Pacific,High income,Not classified,94.4636,107.8608,35.13362,10.617950944179269,,137.2913360595704,1.07983137640218,87.42675077088438,2.5070637795382162,91.04665916069597,91.04665916069597
AUT,Austria,Europe & Central Asia,High income,Not classified,89.7808,121.5324,28.91536,10.349010937425888,,101.53849029541,0.7401490194177123,78.03046421874468,1.6785998949720162,80.36596240847575,80.36596240847575
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,83.9,104.8224,19.62038,5.973269557659088,,98.01638566265436,0.0820923288179791,59.82731322992081,0.22517716734432228,61.62819037547448,61.62819037547448
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,9.53463966,55.018240000000006,0.0318019,2.1882235341165357,,44.36026922050484,-1.8782285749365948,5.600955672381488,-4.1023980741158255,5.836357215898116,5.836357215898116
BEL,Belgium,Europe & Central Asia,High income,Not classified,91.44912,100.67642,41.3928,10.061083222006948,,140.0508137512205,1.072179175205902,87.21507573473247,2.5195087873019832,91.20710230913015,91.20710230913015
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,23.96774,88.72677999999999,0.1909576,2.6137332688229624,48.07000096638996,43.940106709798165,-1.6735419990332643,11.262991633383526,-3.75889387001687,10.264871609153516,10.264871609153516
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,11.150282,105.28118,0.06619642,2.289099347850723,44.55305048942565,38.14564382367104,-1.768157955991833,8.645726927968518,-4.011716814914062,7.005435372093973,7.005435372093973
BGD,Bangladesh,South Asia,Lower middle income,IDA,34.5286,105.04198,5.937048,5.210109884341822,75.77200164794924,66.1379351160208,-0.7933846165883979,35.609887509436774,-1.986253176565806,33.11805573716154,33.11805573716154
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,71.45796,116.44,30.8454,10.804663959152096,,100.68732757568348,0.6080453368122823,74.37621479768836,1.3910285608553596,76.6585440507767,76.6585440507767
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.5323714,131.201,12.52307,7.637956495573586,,102.07446410133234,0.4563302043562585,70.17947384385127,0.9813144363330062,71.37644014661434,71.37644014661434
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,91.0435,105.27778,20.8749,7.870392141071707,,77.361938436651,0.13944288397127802,61.413743137345556,0.3643877254477517,63.422916474595404,63.422916474595404
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,73.55998,110.9346,23.740879999999997,8.09587085813909,,85.89075622558593,0.161047000995222,62.01135578954528,0.3859414697374737,63.70079099745883,63.70079099745883
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,84.68054,125.27939999999998,34.347159999999995,8.89109847683822,,100.41826159902834,0.6802180450863261,76.37265480772372,1.5280977149344033,78.42566280643398,78.42566280643398
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,63.851600000000005,66.47085999999999,8.445656,11.952811075096436,,87.23687939410885,-0.14022657253107557,53.67753223576657,-0.14421782594828422,56.865887541703245,56.865887541703245
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,57.00792,100.37708,7.821878000000001,5.329511464329699,,89.43999783136925,-0.4549733343652396,44.97101361699973,-1.0039193737537595,45.78246954294207,45.78246954294207
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,77.38142,100.73846,17.84476,8.085766969649848,94.21196967758311,105.1538864135744,0.2811469107310992,65.33355708602302,0.608673263515197,66.57228701645978,66.57228701645978
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,75.97918,113.1914,37.81616,6.868105639275967,,105.2827743530274,0.45737327246778037,70.20832717305055,1.0611296264392105,72.40543109917897,72.40543109917897
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,96.58094,125.75039999999998,15.36212,9.441989976125816,,88.72111728387922,0.4630820598590678,70.36624353547212,1.0231467624591981,71.91574958196502,71.91574958196502
BTN,Bhutan,South Asia,Lower middle income,IDA,77.29148,96.03614,0.7959006000000001,6.456381879595096,,90.0939476946356,-0.3251690907927035,48.561656001605705,-0.6869137291199663,49.869360018377236,49.869360018377236
CAN,Canada,North America,High income,Not classified,93.358,88.6855,40.6955,10.565520712994742,,109.6517059326172,0.786715852136459,79.31859501227572,1.9197227927329394,83.47455965571669,83.47455965571669
CEB,,,,,,122.2630000669752,27.56066266295152,10.401417353884629,99.45035705566409,101.0507690429688,0.7590090080106828,78.55216884527535,1.3858617960847694,76.59193324403812,76.59193324403812
CHE,Switzerland,Europe & Central Asia,High income,Not classified,94.26364,125.6322,46.72338,11.653674146721563,,103.8936599731446,1.1740301412628227,90.03247511684651,2.670835106125595,93.1580268480207,93.1580268480207
CHL,Chile,Latin America & Caribbean ,High income,IBRD,88.22948,132.9726,19.8613,9.32213264140207,,104.8024719238284,0.6287238091863394,74.94822228613157,1.3709132640358406,76.39921423639055,76.39921423639055
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,36.843219999999995,141.1824,0.9390658,3.829319105065219,,54.301991066230165,-0.8305454253088003,34.58194596326422,-2.026275241170382,32.60208450002901,32.60208450002901
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,68.95068,140.178,15.27376,6.453792548728915,95.39208623832894,101.6847824096678,0.3104669587987561,66.14460766813734,0.5069071744076067,65.26030135520585,65.26030135520585
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,66.77188,113.6122,4.858456,6.305669371040474,,96.38685030851109,-0.19250508975833483,52.231404939815306,-0.453417270111198,52.87963592520898,52.87963592520898
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,80.11189999999999,155.3224,19.467,7.312288134056476,,132.4606674194336,0.7832782701127222,79.2235046872195,1.627534101907788,79.70761355309234,79.70761355309234
