country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,73.6251,93.4068,17.135060000000003,6.866866268682325,,97.75089867677256,-0.14209555112831793,57.02629292942428,-0.14271786403256118,59.11534869901527,-0.44622682608267417,-0.24839254694879734,0.266465780933788,59.11534869901527
AND,Andorra,Europe & Central Asia,High income,Not classified,93.076825,118.1718,49.02584,9.399279195650257,,97.25101928710936,0.8022228920018966,83.46110413042986,0.9682925835957784,83.90043720377278,0.7243825751709846,1.9342701944341087,0.24622498118224184,83.90043720377278
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.52,200.0538,34.50676,7.517238191340681,98.06666564941406,101.73739547124714,1.0488275792181734,90.36444102411203,1.3958892454884175,93.43952041579064,2.858061039892283,0.7531472176381988,0.5764594789347709,93.43952041579064
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,83.7375,127.909,21.508159999999997,8.242311893011234,,112.47840423584,0.45607986122811023,73.7713371523352,0.6176129732294926,76.07726578509156,0.6748364202968256,0.3151998879641586,0.8628026114274936,76.07726578509156
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,73.38734,124.8462,14.81938,6.389940576434153,,88.31101374216946,-0.07752298144210093,58.83390740612633,-0.10211164387140087,60.02121665254031,0.2916395952491826,-0.4822064638139606,-0.1157680630494246,60.02121665254031
AUS,Australia,East Asia & Pacific,High income,Not classified,94.4636,107.8608,35.13362,10.617950944179269,,137.2913360595704,0.9755870353806821,88.31417931135196,1.3231528742760705,91.81687375044083,0.5216671837812703,1.58027930232515,1.8675121367217915,91.81687375044083
AUT,Austria,Europe & Central Asia,High income,Not classified,89.7808,121.5324,28.91536,10.349010937425888,,101.53849029541,0.6280416887139028,78.5851565545048,0.7791386471007913,79.6806775542939,0.7050995965215742,1.2124858021089215,0.4198305426718783,79.6806775542939
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,83.9,104.8224,19.62038,5.973269557659088,,98.01638566265436,-0.007377458321463515,60.79752854873928,0.01704714274167775,62.679482448896394,0.13264298923953893,-0.358717272889628,0.27721571187512234,62.679482448896394
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,9.29459908,55.018240000000006,0.0318019,2.1882235341165357,,44.36026922050484,-1.9590825463957586,6.162404244414255,-2.4848024697154645,6.866718309087918,-3.286526151889257,-2.2724874741039156,-1.8953937831532208,6.866718309087918
BEL,Belgium,Europe & Central Asia,High income,Not classified,91.44912,100.67642,41.3928,10.061083222006948,,142.88661834716785,0.9926209217675052,88.79101800271802,1.3642653576721842,92.73403572834864,0.26095518662472356,1.737768121889517,2.094072764502312,92.73403572834864
